Vnum	LocaleName
1	يانغ
2	نسخة عربية
10	سيف+0
11	سيف+1
12	سيف+2
13	سيف+3
14	سيف+4
15	سيف+5
16	سيف+6
17	سيف+7
18	سيف+8
19	سيف+9
20	سيف طويل+0
21	سيف طويل+1
22	سيف طويل+2
23	سيف طويل+3
24	سيف طويل+4
25	سيف طويل+5
26	سيف طويل+6
27	سيف طويل+7
28	سيف طويل+8
29	سيف طويل+9
30	سيف منجلي+0
31	سيف منجلي+1
32	سيف منجلي+2
33	سيف منجلي+3
34	سيف منجلي+4
35	سيف منجلي+5
36	سيف منجلي+6
37	سيف منجلي+7
38	سيف منجلي+8
39	سيف منجلي+9
40	سيف خيزراني+0
41	سيف خيزراني+1
42	سيف خيزراني+2
43	سيف خيزراني+3
44	سيف خيزراني+4
45	سيف خيزراني+5
46	سيف خيزراني+6
47	سيف خيزراني+7
48	سيف خيزراني+8
49	سيف خيزراني+9
50	سيف عريض+0
51	سيف عريض+1
52	سيف عريض+2
53	سيف عريض+3
54	سيف عريض+4
55	سيف عريض+5
56	سيف عريض+6
57	سيف عريض+7
58	سيف عريض+8
59	سيف عريض+9
60	سيف فضي+0
61	سيف فضي+1
62	سيف فضي+2
63	سيف فضي+3
64	سيف فضي+4
65	سيف فضي+5
66	سيف فضي+6
67	سيف فضي+7
68	سيف فضي+8
69	سيف فضي+9
70	سيف أورشيدي+0
71	سيف أورشيدي+1
72	سيف أورشيدي+2
73	سيف أورشيدي+3
74	سيف أورشيدي+4
75	سيف أورشيدي+5
76	سيف أورشيدي+6
77	سيف أورشيدي+7
78	سيف أورشيدي+8
79	سيف أورشيدي+9
80	سيف شاذ+0
81	سيف شاذ+1
82	سيف شاذ+2
83	سيف شاذ+3
84	سيف شاذ+4
85	سيف شاذ+5
86	سيف شاذ+6
87	سيف شاذ+7
88	سيف شاذ+8
89	سيف شاذ+9
90	سيف بربري+0
91	سيف بربري+1
92	سيف بربري+2
93	سيف بربري+3
94	سيف بربري+4
95	سيف بربري+5
96	سيف بربري+6
97	سيف بربري+7
98	سيف بربري+8
99	سيف بربري+9
100	سيف دموي+0
101	سيف دموي+1
102	سيف دموي+2
103	سيف دموي+3
104	سيف دموي+4
105	سيف دموي+5
106	سيف دموي+6
107	سيف دموي+7
108	سيف دموي+8
109	سيف دموي+9
110	سيف كبير+0
111	سيف كبير+1
112	سيف كبير+2
113	سيف كبير+3
114	سيف كبير+4
115	سيف كبير+5
116	سيف كبير+6
117	سيف كبير+7
118	سيف كبير+8
119	سيف كبير+9
120	سيف سحري+0
121	سيف سحري+1
122	سيف سحري+2
123	سيف سحري+3
124	سيف سحري+4
125	سيف سحري+5
126	سيف سحري+6
127	سيف سحري+7
128	سيف سحري+8
129	سيف سحري+9
130	سيف هلالي+0
131	سيف هلالي+1
132	سيف هلالي+2
133	سيف هلالي+3
134	سيف هلالي+4
135	سيف هلالي+5
136	سيف هلالي+6
137	سيف هلالي+7
138	سيف هلالي+8
139	سيف هلالي+9
140	سيف معركي+0
141	سيف معركي+1
142	سيف معركي+2
143	سيف معركي+3
144	سيف معركي+4
145	سيف معركي+5
146	سيف معركي+6
147	سيف معركي+7
148	سيف معركي+8
149	سيف معركي+9
150	شفرة الشبح النابيّة+0
151	شفرة الشبح النابيّة+1
152	شفرة الشبح النابيّة+2
153	شفرة الشبح النابيّة+3
154	شفرة الشبح النابيّة+4
155	شفرة الشبح النابيّة+5
156	شفرة الشبح النابيّة+6
157	شفرة الشبح النابيّة+7
158	شفرة الشبح النابيّة+8
159	شفرة الشبح النابيّة+9
160	سيف نمفي+0
161	سيف نمفي+1
162	سيف نمفي+2
163	سيف نمفي+3
164	سيف نمفي+4
165	سيف نمفي+5
166	سيف نمفي+6
167	سيف نمفي+7
168	سيف نمفي+8
169	سيف نمفي+9
170	سيف لادغ+0
171	سيف لادغ+1
172	سيف لادغ+2
173	سيف لادغ+3
174	سيف لادغ+4
175	سيف لادغ+5
176	سيف لادغ+6
177	سيف لادغ+7
178	سيف لادغ+8
179	سيف لادغ+9
180	سيف سام+0
181	سيف سام+1
182	سيف سام+2
183	سيف سام+3
184	سيف سام+4
185	سيف سام+5
186	سيف سام+6
187	سيف سام+7
188	سيف سام+8
189	سيف سام+9
190	سيف الأسد+0
191	سيف الأسد+1
192	سيف الأسد+2
193	سيف الأسد+3
194	سيف الأسد+4
195	سيف الأسد+5
196	سيف الأسد+6
197	سيف الأسد+7
198	سيف الأسد+8
199	سيف الأسد+9
200	شفرة حادة+0
201	شفرة حادة+1
202	شفرة حادة+2
203	شفرة حادة+3
204	شفرة حادة+4
205	شفرة حادة+5
206	شفرة حادة+6
207	شفرة حادة+7
208	شفرة حادة+8
209	شفرة حادة+9
210	شفرة مميتة+0
211	شفرة مميتة+1
212	شفرة مميتة+2
213	شفرة مميتة+3
214	شفرة مميتة+4
215	شفرة مميتة+5
216	شفرة مميتة+6
217	شفرة مميتة+7
218	شفرة مميتة+8
219	شفرة مميتة+9
220	سيف قمري+0
221	سيف قمري+1
222	سيف قمري+2
223	سيف قمري+3
224	سيف قمري+4
225	سيف قمري+5
226	سيف قمري+6
227	سيف قمري+7
228	سيف قمري+8
229	سيف قمري+9
230	سيف سماوي+0
231	سيف سماوي+1
232	سيف سماوي+2
233	سيف سماوي+3
234	سيف سماوي+4
235	سيف سماوي+5
236	سيف سماوي+6
237	سيف سماوي+7
238	سيف سماوي+8
239	سيف سماوي+9
240	سيف تعويذي+0
241	سيف تعويذي+1
242	سيف تعويذي+2
243	سيف تعويذي+3
244	سيف تعويذي+4
245	سيف تعويذي+5
246	سيف تعويذي+6
247	سيف تعويذي+7
248	سيف تعويذي+8
249	سيف تعويذي+9
250	شفرة الشيطان +0
251	شفرة الشيطان +1
252	شفرة الشيطان +2
253	شفرة الشيطان +3
254	شفرة الشيطان +4
255	شفرة الشيطان +5
256	شفرة الشيطان +6
257	شفرة الشيطان +7
258	شفرة الشيطان +8
259	شفرة الشيطان +9
260	سيف البارون+0
261	سيف البارون+1
262	سيف البارون+2
263	سيف البارون+3
264	سيف البارون+4
265	سيف البارون+5
266	سيف البارون+6
267	سيف البارون+7
268	سيف البارون+8
269	سيف البارون+9
270	سيف تريتون +0
271	سيف تريتون +1
272	سيف تريتون +2
273	سيف تريتون +3
274	سيف تريتون +4
275	سيف تريتون +5
276	سيف تريتون +6
277	سيف تريتون +7
278	سيف تريتون +8
279	سيف تريتون +9
280	سيف مقدس+0
281	سيف مقدس+1
282	سيف مقدس+2
283	سيف مقدس+3
284	سيف مقدس+4
285	سيف مقدس+5
286	سيف مقدس+6
287	سيف مقدس+7
288	سيف مقدس+8
289	سيف مقدس+9
290	سيف بدري+0
291	سيف بدري+1
292	سيف بدري+2
293	سيف بدري+3
294	سيف بدري+4
295	سيف بدري+5
296	سيف بدري+6
297	سيف بدري+7
298	سيف بدري+8
299	سيف بدري+9
300	شفرة زودياك+0
301	شفرة زودياك+1
302	شفرة زودياك+2
303	شفرة زودياك+3
304	شفرة زودياك+4
305	شفرة زودياك+5
306	شفرة زودياك+6
307	شفرة زودياك+7
308	شفرة زودياك+8
309	شفرة زودياك+9
310	سيف زودياك+0
311	سيف زودياك+1
312	سيف زودياك+2
313	سيف زودياك+3
314	سيف زودياك+4
315	سيف زودياك+5
316	سيف زودياك+6
317	سيف زودياك+7
318	سيف زودياك+8
319	سيف زودياك+9
320	سيف التنين الظلامي+0
321	سيف التنين الظلامي+1
322	سيف التنين الظلامي+2
323	سيف التنين الظلامي+3
324	سيف التنين الظلامي+4
325	سيف التنين الظلامي+5
326	سيف التنين الظلامي+6
327	سيف التنين الظلامي+7
328	سيف التنين الظلامي+8
329	سيف التنين الظلامي+9
330	سيف التنين الظلامي+10
331	سيف التنين الظلامي+11
332	سيف التنين الظلامي+12
333	سيف التنين الظلامي+13
