Vnum	LocaleName
1	Yang
2	Anglická verze
10	Meč+0
11	Meč+1
12	Meč+2
13	Meč+3
14	Meč+4
15	Meč+5
16	Meč+6
17	Meč+7
18	Meč+8
19	Meč+9
20	Dlouhý meč+0
21	Dlouhý meč+1
22	Dlouhý meč+2
23	Dlouhý meč+3
24	Dlouhý meč+4
25	Dlouhý meč+5
26	Dlouhý meč+6
27	Dlouhý meč+7
28	Dlouhý meč+8
29	Dlouhý meč+9
30	Srpovitý meč+0
31	Srpovitý meč+1
32	Srpovitý meč+2
33	Srpovitý meč+3
34	Srpovitý meč+4
35	Srpovitý meč+5
36	Srpovitý meč+6
37	Srpovitý meč+7
38	Srpovitý meč+8
39	Srpovitý meč+9
40	Bambusový meč+0
41	Bambusový meč+1
42	Bambusový meč+2
43	Bambusový meč+3
44	Bambusový meč+4
45	Bambusový meč+5
46	Bambusový meč+6
47	Bambusový meč+7
48	Bambusový meč+8
49	Bambusový meč+9
50	Široký meč+0
51	Široký meč+1
52	Široký meč+2
53	Široký meč+3
54	Široký meč+4
55	Široký meč+5
56	Široký meč+6
57	Široký meč+7
58	Široký meč+8
59	Široký meč+9
60	Stříbrný meč+0
61	Stříbrný meč+1
62	Stříbrný meč+2
63	Stříbrný meč+3
64	Stříbrný meč+4
65	Stříbrný meč+5
66	Stříbrný meč+6
67	Stříbrný meč+7
68	Stříbrný meč+8
69	Stříbrný meč+9
70	Orchideomeč+0
71	Orchideomeč+1
72	Orchideomeč+2
73	Orchideomeč+3
74	Orchideomeč+4
75	Orchideomeč+5
76	Orchideomeč+6
77	Orchideomeč+7
78	Orchideomeč+8
79	Orchideomeč+9
80	Jedenapůlruční meč+0
81	Jedenapůlruční meč+1
82	Jedenapůlruční meč+2
83	Jedenapůlruční meč+3
84	Jedenapůlruční meč+4
85	Jedenapůlruční meč+5
86	Jedenapůlruční meč+6
87	Jedenapůlruční meč+7
88	Jedenapůlruční meč+8
89	Jedenapůlruční meč+9
90	Barbarský meč+0
91	Barbarský meč+1
92	Barbarský meč+2
93	Barbarský meč+3
94	Barbarský meč+4
95	Barbarský meč+5
96	Barbarský meč+6
97	Barbarský meč+7
98	Barbarský meč+8
99	Barbarský meč+9
100	Krvavý meč+0
101	Krvavý meč+1
102	Krvavý meč+2
103	Krvavý meč+3
104	Krvavý meč+4
105	Krvavý meč+5
106	Krvavý meč+6
107	Krvavý meč+7
108	Krvavý meč+8
109	Krvavý meč+9
110	Velký meč+0
111	Velký meč+1
112	Velký meč+2
113	Velký meč+3
114	Velký meč+4
115	Velký meč+5
116	Velký meč+6
117	Velký meč+7
118	Velký meč+8
119	Velký meč+9
120	Meč kouzelníka+0
121	Meč kouzelníka+1
122	Meč kouzelníka+2
123	Meč kouzelníka+3
124	Meč kouzelníka+4
125	Meč kouzelníka+5
126	Meč kouzelníka+6
127	Meč kouzelníka+7
128	Meč kouzelníka+8
129	Meč kouzelníka+9
130	Půlměsíční meč+0
131	Půlměsíční meč+1
132	Půlměsíční meč+2
133	Půlměsíční meč+3
134	Půlměsíční meč+4
135	Půlměsíční meč+5
136	Půlměsíční meč+6
137	Půlměsíční meč+7
138	Půlměsíční meč+8
139	Půlměsíční meč+9
140	Bitevní meč+0
141	Bitevní meč+1
142	Bitevní meč+2
143	Bitevní meč+3
144	Bitevní meč+4
145	Bitevní meč+5
146	Bitevní meč+6
147	Bitevní meč+7
148	Bitevní meč+8
149	Bitevní meč+9
150	Ozubená čepel ducha+0
151	Ozubená čepel ducha+1
152	Ozubená čepel ducha+2
153	Ozubená čepel ducha+3
154	Ozubená čepel ducha+4
155	Ozubená čepel ducha+5
156	Ozubená čepel ducha+6
157	Ozubená čepel ducha+7
158	Ozubená čepel ducha+8
159	Ozubená čepel ducha+9
160	Meč víly+0
161	Meč víly+1
162	Meč víly+2
163	Meč víly+3
164	Meč víly+4
165	Meč víly+5
166	Meč víly+6
167	Meč víly+7
168	Meč víly+8
169	Meč víly+9
170	Bodák+0
171	Bodák+1
172	Bodák+2
173	Bodák+3
174	Bodák+4
175	Bodák+5
176	Bodák+6
177	Bodák+7
178	Bodák+8
179	Bodák+9
180	Jedovatý meč+0
181	Jedovatý meč+1
182	Jedovatý meč+2
183	Jedovatý meč+3
184	Jedovatý meč+4
185	Jedovatý meč+5
186	Jedovatý meč+6
187	Jedovatý meč+7
188	Jedovatý meč+8
189	Jedovatý meč+9
190	Lví meč+0
191	Lví meč+1
192	Lví meč+2
193	Lví meč+3
194	Lví meč+4
195	Lví meč+5
196	Lví meč+6
197	Lví meč+7
198	Lví meč+8
199	Lví meč+9
200	Řezná čepel+0
201	Řezná čepel+1
202	Řezná čepel+2
203	Řezná čepel+3
204	Řezná čepel+4
205	Řezná čepel+5
206	Řezná čepel+6
207	Řezná čepel+7
208	Řezná čepel+8
209	Řezná čepel+9
210	Smrtící čepel+0
211	Smrtící čepel+1
212	Smrtící čepel+2
213	Smrtící čepel+3
214	Smrtící čepel+4
215	Smrtící čepel+5
216	Smrtící čepel+6
217	Smrtící čepel+7
218	Smrtící čepel+8
219	Smrtící čepel+9
220	Měsíční meč+0
221	Měsíční meč+1
222	Měsíční meč+2
223	Měsíční meč+3
224	Měsíční meč+4
225	Měsíční meč+5
226	Měsíční meč+6
227	Měsíční meč+7
228	Měsíční meč+8
229	Měsíční meč+9
230	Nebeský meč+0
231	Nebeský meč+1
232	Nebeský meč+2
233	Nebeský meč+3
234	Nebeský meč+4
235	Nebeský meč+5
236	Nebeský meč+6
237	Nebeský meč+7
238	Nebeský meč+8
239	Nebeský meč+9
240	Meč exorcismu+0
241	Meč exorcismu+1
242	Meč exorcismu+2
243	Meč exorcismu+3
244	Meč exorcismu+4
245	Meč exorcismu+5
246	Meč exorcismu+6
247	Meč exorcismu+7
248	Meč exorcismu+8
249	Meč exorcismu+9
250	Čepel démonů+0
251	Čepel démonů+1
252	Čepel démonů+2
253	Čepel démonů+3
254	Čepel démonů+4
255	Čepel démonů+5
256	Čepel démonů+6
257	Čepel démonů+7
258	Čepel démonů+8
