Vnum	LocaleName
1	Yang
2	Version française
10	Épée+0
11	Épée+1
12	Épée+2
13	Épée+3
14	Épée+4
15	Épée+5
16	Épée+6
17	Épée+7
18	Épée+8
19	Épée+9
20	Épée longue+0
21	Épée longue+1
22	Épée longue+2
23	Épée longue+3
24	Épée longue+4
25	Épée longue+5
26	Épée longue+6
27	Épée longue+7
28	Épée longue+8
29	Épée longue+9
30	Lame courbe+0
31	Lame courbe+1
32	Lame courbe+2
33	Lame courbe+3
34	Lame courbe+4
35	Lame courbe+5
36	Lame courbe+6
37	Lame courbe+7
38	Lame courbe+8
39	Lame courbe+9
40	Canne Épée+0
41	Canne Épée+1
42	Canne Épée+2
43	Canne Épée+3
44	Canne Épée+4
45	Canne Épée+5
46	Canne Épée+6
47	Canne Épée+7
48	Canne Épée+8
49	Canne Épée+9
50	Épée large+0
51	Épée large+1
52	Épée large+2
53	Épée large+3
54	Épée large+4
55	Épée large+5
56	Épée large+6
57	Épée large+7
58	Épée large+8
59	Épée large+9
60	Épée en argent+0
61	Épée en argent+1
62	Épée en argent+2
63	Épée en argent+3
64	Épée en argent+4
65	Épée en argent+5
66	Épée en argent+6
67	Épée en argent+7
68	Épée en argent+8
69	Épée en argent+9
70	Épée aux orchidées+0
71	Épée aux orchidées+1
72	Épée aux orchidées+2
73	Épée aux orchidées+3
74	Épée aux orchidées+4
75	Épée aux orchidées+5
76	Épée aux orchidées+6
77	Épée aux orchidées+7
78	Épée aux orchidées+8
79	Épée aux orchidées+9
80	Épée bâtarde+0
81	Épée bâtarde+1
82	Épée bâtarde+2
83	Épée bâtarde+3
84	Épée bâtarde+4
85	Épée bâtarde+5
86	Épée bâtarde+6
87	Épée bâtarde+7
88	Épée bâtarde+8
89	Épée bâtarde+9
90	Glaive barbare+0
91	Glaive barbare+1
92	Glaive barbare+2
93	Glaive barbare+3
94	Glaive barbare+4
95	Glaive barbare+5
96	Glaive barbare+6
97	Glaive barbare+7
98	Glaive barbare+8
99	Glaive barbare+9
100	Épée sanglante+0
101	Épée sanglante+1
102	Épée sanglante+2
103	Épée sanglante+3
104	Épée sanglante+4
105	Épée sanglante+5
106	Épée sanglante+6
107	Épée sanglante+7
108	Épée sanglante+8
109	Épée sanglante+9
110	Grande Épée+0
111	Grande Épée+1
112	Grande Épée+2
113	Grande Épée+3
114	Grande Épée+4
115	Grande Épée+5
116	Grande Épée+6
117	Grande Épée+7
118	Grande Épée+8
119	Grande Épée+9
120	Épée du magic. volant+0
121	Épée du magic. volant+1
122	Épée du magic. volant+2
123	Épée du magic. volant+3
124	Épée du magic. volant+4
125	Épée du magic. volant+5
126	Épée du magic. volant+6
127	Épée du magic. volant+7
128	Épée du magic. volant+8
129	Épée du magic. volant+9
130	Épée de demi-lune+0
131	Épée de demi-lune+1
132	Épée de demi-lune+2
133	Épée de demi-lune+3
134	Épée de demi-lune+4
135	Épée de demi-lune+5
136	Épée de demi-lune+6
137	Épée de demi-lune+7
138	Épée de demi-lune+8
139	Épée de demi-lune+9
140	Épée de bataille+0
141	Épée de bataille+1
142	Épée de bataille+2
143	Épée de bataille+3
144	Épée de bataille+4
145	Épée de bataille+5
146	Épée de bataille+6
147	Épée de bataille+7
148	Épée de bataille+8
149	Épée de bataille+9
150	Lame de croc fantôme+0
151	Lame de croc fantôme+1
152	Lame de croc fantôme+2
153	Lame de croc fantôme+3
154	Lame de croc fantôme+4
155	Lame de croc fantôme+5
156	Lame de croc fantôme+6
157	Lame de croc fantôme+7
158	Lame de croc fantôme+8
159	Lame de croc fantôme+9
160	Épée de nymphe+0
161	Épée de nymphe+1
162	Épée de nymphe+2
163	Épée de nymphe+3
164	Épée de nymphe+4
165	Épée de nymphe+5
166	Épée de nymphe+6
167	Épée de nymphe+7
168	Épée de nymphe+8
169	Épée de nymphe+9
170	Épée de piqûre+0
171	Épée de piqûre+1
172	Épée de piqûre+2
173	Épée de piqûre+3
174	Épée de piqûre+4
175	Épée de piqûre+5
176	Épée de piqûre+6
177	Épée de piqûre+7
178	Épée de piqûre+8
179	Épée de piqûre+9
180	Épée empoisonnée+0
181	Épée empoisonnée+1
182	Épée empoisonnée+2
183	Épée empoisonnée+3
184	Épée empoisonnée+4
185	Épée empoisonnée+5
186	Épée empoisonnée+6
187	Épée empoisonnée+7
188	Épée empoisonnée+8
189	Épée empoisonnée+9
190	Épée du lion+0
191	Épée du lion+1
192	Épée du lion+2
193	Épée du lion+3
194	Épée du lion+4
195	Épée du lion+5
196	Épée du lion+6
197	Épée du lion+7
198	Épée du lion+8
199	Épée du lion+9
200	Lame tranchante+0
201	Lame tranchante+1
202	Lame tranchante+2
203	Lame tranchante+3
204	Lame tranchante+4
205	Lame tranchante+5
206	Lame tranchante+6
207	Lame tranchante+7
208	Lame tranchante+8
209	Lame tranchante+9
210	Lame mortelle+0
211	Lame mortelle+1
212	Lame mortelle+2
213	Lame mortelle+3
214	Lame mortelle+4
215	Lame mortelle+5
216	Lame mortelle+6
217	Lame mortelle+7
218	Lame mortelle+8
219	Lame mortelle+9
220	Épée lunaire+0
221	Épée lunaire+1
222	Épée lunaire+2
223	Épée lunaire+3
224	Épée lunaire+4
225	Épée lunaire+5
226	Épée lunaire+6
227	Épée lunaire+7
228	Épée lunaire+8
229	Épée lunaire+9
230	Épée céleste+0
231	Épée céleste+1
232	Épée céleste+2
233	Épée céleste+3
234	Épée céleste+4
235	Épée céleste+5
236	Épée céleste+6
237	Épée céleste+7
238	Épée céleste+8
239	Épée céleste+9
240	Épée d'exorcisme+0
241	Épée d'exorcisme+1
242	Épée d'exorcisme+2
243	Épée d'exorcisme+3
244	Épée d'exorcisme+4
245	Épée d'exorcisme+5
246	Épée d'exorcisme+6
247	Épée d'exorcisme+7
248	Épée d'exorcisme+8
249	Épée d'exorcisme+9
250	Lame démoniaque+0
251	Lame démoniaque+1
252	Lame démoniaque+2
253	Lame démoniaque+3
254	Lame démoniaque+4
255	Lame démoniaque+5
256	Lame démoniaque+6
257	Lame démoniaque+7
258	Lame démoniaque+8
259	Lame démoniaque+9
260	Épée de baron+0
261	Épée de baron+1
262	Épée de baron+2
263	Épée de baron+3
264	Épée de baron+4
265	Épée de baron+5
266	Épée de baron+6
267	Épée de baron+7
268	Épée de baron+8
269	Épée de baron+9
270	Épée de Triton+0
271	Épée de Triton+1
272	Épée de Triton+2
273	Épée de Triton+3
274	Épée de Triton+4
275	Épée de Triton+5
276	Épée de Triton+6
277	Épée de Triton+7
278	Épée de Triton+8
279	Épée de Triton+9
280	Épée sacrée+0
281	Épée sacrée+1
282	Épée sacrée+2
283	Épée sacrée+3
284	Épée sacrée+4
285	Épée sacrée+5
286	Épée sacrée+6
287	Épée sacrée+7
288	Épée sacrée+8
289	Épée sacrée+9
290	Épée de la lune pleine+0
291	Épée de la lune pleine+1
292	Épée de la lune pleine+2
293	Épée de la lune pleine+3
294	Épée de la lune pleine+4
295	Épée de la lune pleine+5
296	Épée de la lune pleine+6
297	Épée de la lune pleine+7
298	Épée de la lune pleine+8
299	Épée de la lune pleine+9
300	Lame du zodiaque+0
301	Lame du zodiaque+1
302	Lame du zodiaque+2
303	Lame du zodiaque+3
304	Lame du zodiaque+4
305	Lame du zodiaque+5
306	Lame du zodiaque+6
307	Lame du zodiaque+7
308	Lame du zodiaque+8
309	Lame du zodiaque+9
310	Épée du zodiaque+0
311	Épée du zodiaque+1
312	Épée du zodiaque+2
313	Épée du zodiaque+3
314	Épée du zodiaque+4
315	Épée du zodiaque+5
316	Épée du zodiaque+6
317	Épée du zodiaque+7
318	Épée du zodiaque+8
319	Épée du zodiaque+9
320	Épée du dragon obscur+0
321	Épée du dragon obscur+1
322	Épée du dragon obscur+2
323	Épée du dragon obscur+3
324	Épée du dragon obscur+4
325	Épée du dragon obscur+5
326	Épée du dragon obscur+6
327	Épée du dragon obscur+7
328	Épée du dragon obscur+8
329	Épée du dragon obscur+9
330	Épée du dragon obscur+10
331	Épée du dragon obscur+11
332	Épée du dragon obscur+12
333	Épée du dragon obscur+13
334	Épée du dragon obscur+14
335	Épée du dragon obscur+15
340	Stylet du dragon obs.+0
341	Stylet du dragon obs.+1
342	Stylet du dragon obs.+2
343	Stylet du dragon obs.+3
344	Stylet du dragon obs.+4
345	Stylet du dragon obs.+5
346	Stylet du dragon obs.+6
347	Stylet du dragon obs.+7
348	Stylet du dragon obs.+8
349	Stylet du dragon obs.+9
350	Stylet du dragon obs.+10
351	Stylet du dragon obs.+11
352	Stylet du dragon obs.+12
353	Stylet du dragon obs.+13
354	Stylet du dragon obs.+14
355	Stylet du dragon obs.+15
360	Épée serpent +0
361	Épée serpent +1
362	Épée serpent +2
363	Épée serpent +3
364	Épée serpent +4
365	Épée serpent +5
366	Épée serpent +6
367	Épée serpent +7
368	Épée serpent +8
369	Épée serpent +9
370	Épée serpent +10
371	Épée serpent +11
372	Épée serpent +12
373	Épée serpent +13
374	Épée serpent +14
375	Épée serpent +15
376	Épée serpent (fabri.)
380	Lame serpent +0
381	Lame serpent +1
382	Lame serpent +2
383	Lame serpent +3
384	Lame serpent +4
385	Lame serpent +5
386	Lame serpent +6
387	Lame serpent +7
388	Lame serpent +8
389	Lame serpent +9
390	Lame serpent +10
391	Lame serpent +11
392	Lame serpent +12
393	Lame serpent +13
394	Lame serpent +14
395	Lame serpent +15
396	Lame serpent (fabr.)
460	Épée runique +0
461	Épée runique +1
462	Épée runique +2
463	Épée runique +3
464	Épée runique +4
465	Épée runique +5
466	Épée runique +6
467	Épée runique +7
468	Épée runique +8
469	Épée runique +9
470	Lame dent de dragon +0
471	Lame dent de dragon +1
472	Lame dent de dragon +2
473	Lame dent de dragon +3
474	Lame dent de dragon +4
475	Lame dent de dragon +5
476	Lame dent de dragon +6
477	Lame dent de dragon +7
478	Lame dent de dragon +8
479	Lame dent de dragon +9
500	Épée de kyanite +0
501	Épée de kyanite +1
502	Épée de kyanite +2
503	Épée de kyanite +3
504	Épée de kyanite +4
505	Épée de kyanite +5
506	Épée de kyanite +6
507	Épée de kyanite +7
508	Épée de kyanite +8
509	Épée de kyanite +9
1000	Dague+0
1001	Dague+1
1002	Dague+2
1003	Dague+3
