Vnum	LocaleName
1	Yang
2	Ελληνική Έκδοση
10	Σπαθί+0
11	Σπαθί+1
12	Σπαθί+2
13	Σπαθί+3
14	Σπαθί+4
15	Σπαθί+5
16	Σπαθί+6
17	Σπαθί+7
18	Σπαθί+8
19	Σπαθί+9
20	Μακρύ Σπαθί+0
21	Μακρύ Σπαθί+1
22	Μακρύ Σπαθί+2
23	Μακρύ Σπαθί+3
24	Μακρύ Σπαθί+4
25	Μακρύ Σπαθί+5
26	Μακρύ Σπαθί+6
27	Μακρύ Σπαθί+7
28	Μακρύ Σπαθί+8
29	Μακρύ Σπαθί+9
30	Χατζάρα+0
31	Χατζάρα+1
32	Χατζάρα+2
33	Χατζάρα+3
34	Χατζάρα+4
35	Χατζάρα+5
36	Χατζάρα+6
37	Χατζάρα+7
38	Χατζάρα+8
39	Χατζάρα+9
40	Σπάθα Μπαμπού+0
41	Σπάθα Μπαμπού+1
42	Σπάθα Μπαμπού+2
43	Σπάθα Μπαμπού+3
44	Σπάθα Μπαμπού+4
45	Σπάθα Μπαμπού+5
46	Σπάθα Μπαμπού+6
47	Σπάθα Μπαμπού+7
48	Σπάθα Μπαμπού+8
49	Σπάθα Μπαμπού+9
50	Πλατύ Σπαθί+0
51	Πλατύ Σπαθί+1
52	Πλατύ Σπαθί+2
53	Πλατύ Σπαθί+3
54	Πλατύ Σπαθί+4
55	Πλατύ Σπαθί+5
56	Πλατύ Σπαθί+6
57	Πλατύ Σπαθί+7
58	Πλατύ Σπαθί+8
59	Πλατύ Σπαθί+9
60	Ασημένιο Σπαθί+0
61	Ασημένιο Σπαθί+1
62	Ασημένιο Σπαθί+2
63	Ασημένιο Σπαθί+3
64	Ασημένιο Σπαθί+4
65	Ασημένιο Σπαθί+5
66	Ασημένιο Σπαθί+6
67	Ασημένιο Σπαθί+7
68	Ασημένιο Σπαθί+8
69	Ασημένιο Σπαθί+9
70	Ξίφος της Ορχιδέας+0
71	Ξίφος της Ορχιδέας+1
72	Ξίφος της Ορχιδέας+2
73	Ξίφος της Ορχιδέας+3
74	Ξίφος της Ορχιδέας+4
75	Ξίφος της Ορχιδέας+5
76	Ξίφος της Ορχιδέας+6
77	Ξίφος της Ορχιδέας+7
78	Ξίφος της Ορχιδέας+8
79	Ξίφος της Ορχιδέας+9
80	Σπάθα+0
81	Σπάθα+1
82	Σπάθα+2
83	Σπάθα+3
84	Σπάθα+4
85	Σπάθα+5
86	Σπάθα+6
87	Σπάθα+7
88	Σπάθα+8
89	Σπάθα+9
90	Βαρβαρικό Σπαθί+0
91	Βαρβαρικό Σπαθί+1
92	Βαρβαρικό Σπαθί+2
93	Βαρβαρικό Σπαθί+3
94	Βαρβαρικό Σπαθί+4
95	Βαρβαρικό Σπαθί+5
96	Βαρβαρικό Σπαθί+6
97	Βαρβαρικό Σπαθί+7
98	Βαρβαρικό Σπαθί+8
99	Βαρβαρικό Σπαθί+9
100	Ματωμένο Σπαθί+0
101	Ματωμένο Σπαθί+1
102	Ματωμένο Σπαθί+2
103	Ματωμένο Σπαθί+3
104	Ματωμένο Σπαθί+4
105	Ματωμένο Σπαθί+5
106	Ματωμένο Σπαθί+6
107	Ματωμένο Σπαθί+7
108	Ματωμένο Σπαθί+8
109	Ματωμένο Σπαθί+9
110	Μέγα Ξίφος+0
111	Μέγα Ξίφος+1
112	Μέγα Ξίφος+2
113	Μέγα Ξίφος+3
114	Μέγα Ξίφος+4
115	Μέγα Ξίφος+5
116	Μέγα Ξίφος+6
117	Μέγα Ξίφος+7
118	Μέγα Ξίφος+8
119	Μέγα Ξίφος+9
120	Ξίφος του Μάγου+0
121	Ξίφος του Μάγου+1
122	Ξίφος του Μάγου+2
123	Ξίφος του Μάγου+3
124	Ξίφος του Μάγου+4
125	Ξίφος του Μάγου+5
126	Ξίφος του Μάγου+6
127	Ξίφος του Μάγου+7
128	Ξίφος του Μάγου+8
129	Ξίφος του Μάγου+9
130	Ημισέληνος+0
131	Ημισέληνος+1
132	Ημισέληνος+2
133	Ημισέληνος+3
134	Ημισέληνος+4
135	Ημισέληνος+5
136	Ημισέληνος+6
137	Ημισέληνος+7
138	Ημισέληνος+8
139	Ημισέληνος+9
140	Σπάθα Μάχης+0
141	Σπάθα Μάχης+1
142	Σπάθα Μάχης+2
143	Σπάθα Μάχης+3
144	Σπάθα Μάχης+4
145	Σπάθα Μάχης+5
146	Σπάθα Μάχης+6
147	Σπάθα Μάχης+7
148	Σπάθα Μάχης+8
149	Σπάθα Μάχης+9
150	Λεπίδα Φάντασμα+0
151	Λεπίδα Φάντασμα+1
152	Λεπίδα Φάντασμα+2
153	Λεπίδα Φάντασμα+3
154	Λεπίδα Φάντασμα+4
155	Λεπίδα Φάντασμα+5
156	Λεπίδα Φάντασμα+6
157	Λεπίδα Φάντασμα+7
158	Λεπίδα Φάντασμα+8
159	Λεπίδα Φάντασμα+9
160	Ξωτικό Ξίφος+0
161	Ξωτικό Ξίφος+1
162	Ξωτικό Ξίφος+2
163	Ξωτικό Ξίφος+3
164	Ξωτικό Ξίφος+4
165	Ξωτικό Ξίφος+5
166	Ξωτικό Ξίφος+6
167	Ξωτικό Ξίφος+7
168	Ξωτικό Ξίφος+8
169	Ξωτικό Ξίφος+9
170	Κεντρί+0
171	Κεντρί+1
172	Κεντρί+2
173	Κεντρί+3
174	Κεντρί+4
175	Κεντρί+5
176	Κεντρί+6
177	Κεντρί+7
178	Κεντρί+8
179	Κεντρί+9
180	Δηλητηριώδες Σπαθί+0
181	Δηλητηριώδες Σπαθί+1
182	Δηλητηριώδες Σπαθί+2
183	Δηλητηριώδες Σπαθί+3
184	Δηλητηριώδες Σπαθί+4
185	Δηλητηριώδες Σπαθί+5
186	Δηλητηριώδες Σπαθί+6
187	Δηλητηριώδες Σπαθί+7
188	Δηλητηριώδες Σπαθί+8
189	Δηλητηριώδες Σπαθί+9
190	Ξίφος του Λέοντα+0
191	Ξίφος του Λέοντα+1
192	Ξίφος του Λέοντα+2
193	Ξίφος του Λέοντα+3
194	Ξίφος του Λέοντα+4
195	Ξίφος του Λέοντα+5
196	Ξίφος του Λέοντα+6
197	Ξίφος του Λέοντα+7
198	Ξίφος του Λέοντα+8
199	Ξίφος του Λέοντα+9
200	Κοφτερή Λεπίδα+0
201	Κοφτερή Λεπίδα+1
202	Κοφτερή Λεπίδα+2
203	Κοφτερή Λεπίδα+3
204	Κοφτερή Λεπίδα+4
205	Κοφτερή Λεπίδα+5
206	Κοφτερή Λεπίδα+6
207	Κοφτερή Λεπίδα+7
208	Κοφτερή Λεπίδα+8
209	Κοφτερή Λεπίδα+9
210	Θανάσιμη Λεπίδα+0
211	Θανάσιμη Λεπίδα+1
212	Θανάσιμη Λεπίδα+2
213	Θανάσιμη Λεπίδα+3
214	Θανάσιμη Λεπίδα+4
215	Θανάσιμη Λεπίδα+5
216	Θανάσιμη Λεπίδα+6
217	Θανάσιμη Λεπίδα+7
218	Θανάσιμη Λεπίδα+8
219	Θανάσιμη Λεπίδα+9
220	Φεγγαρολεπίδα+0
221	Φεγγαρολεπίδα+1
222	Φεγγαρολεπίδα+2
223	Φεγγαρολεπίδα+3
224	Φεγγαρολεπίδα+4
225	Φεγγαρολεπίδα+5
226	Φεγγαρολεπίδα+6
227	Φεγγαρολεπίδα+7
228	Φεγγαρολεπίδα+8
229	Φεγγαρολεπίδα+9
230	Ουράνιο Σπαθί+0
231	Ουράνιο Σπαθί+1
232	Ουράνιο Σπαθί+2
233	Ουράνιο Σπαθί+3
234	Ουράνιο Σπαθί+4
235	Ουράνιο Σπαθί+5
236	Ουράνιο Σπαθί+6
237	Ουράνιο Σπαθί+7
238	Ουράνιο Σπαθί+8
239	Ουράνιο Σπαθί+9
240	Εξορκιστής+0
241	Εξορκιστής+1
242	Εξορκιστής+2
243	Εξορκιστής+3
244	Εξορκιστής+4
245	Εξορκιστής+5
246	Εξορκιστής+6
247	Εξορκιστής+7
248	Εξορκιστής+8
249	Εξορκιστής+9
250	Σπαθί του Δαίμονα+0
251	Σπαθί του Δαίμονα+1
252	Σπαθί του Δαίμονα+2
253	Σπαθί του Δαίμονα+3
254	Σπαθί του Δαίμονα+4
255	Σπαθί του Δαίμονα+5
256	Σπαθί του Δαίμονα+6
257	Σπαθί του Δαίμονα+7
258	Σπαθί του Δαίμονα+8
259	Σπαθί του Δαίμονα+9
260	Σπαθί του Βαρόνου+0
261	Σπαθί του Βαρόνου+1
262	Σπαθί του Βαρόνου+2
263	Σπαθί του Βαρόνου+3
264	Σπαθί του Βαρόνου+4
265	Σπαθί του Βαρόνου+5
266	Σπαθί του Βαρόνου+6
267	Σπαθί του Βαρόνου+7
268	Σπαθί του Βαρόνου+8
269	Σπαθί του Βαρόνου+9
270	Ξίφος του Τρίτωνα+0
271	Ξίφος του Τρίτωνα+1
272	Ξίφος του Τρίτωνα+2
273	Ξίφος του Τρίτωνα+3
274	Ξίφος του Τρίτωνα+4
275	Ξίφος του Τρίτωνα+5
276	Ξίφος του Τρίτωνα+6
277	Ξίφος του Τρίτωνα+7
278	Ξίφος του Τρίτωνα+8
279	Ξίφος του Τρίτωνα+9
280	Ιερό Ξίφος+0
281	Ιερό Ξίφος+1
282	Ιερό Ξίφος+2
283	Ιερό Ξίφος+3
284	Ιερό Ξίφος+4
285	Ιερό Ξίφος+5
286	Ιερό Ξίφος+6
287	Ιερό Ξίφος+7
288	Ιερό Ξίφος+8
289	Ιερό Ξίφος+9
290	Πανσέληνο Σπαθί+0
291	Πανσέληνο Σπαθί+1
292	Πανσέληνο Σπαθί+2
293	Πανσέληνο Σπαθί+3
294	Πανσέληνο Σπαθί+4
295	Πανσέληνο Σπαθί+5
296	Πανσέληνο Σπαθί+6
297	Πανσέληνο Σπαθί+7
298	Πανσέληνο Σπαθί+8
299	Πανσέληνο Σπαθί+9
300	Ζωδιακή λεπίδα+0
301	Ζωδιακή λεπίδα+1
302	Ζωδιακή λεπίδα+2
303	Ζωδιακή λεπίδα+3
304	Ζωδιακή λεπίδα+4
305	Ζωδιακή λεπίδα+5
306	Ζωδιακή λεπίδα+6
