Vnum	LocaleName
1	Yang
2	Magyar verzió
10	kard+0
11	kard+1
12	kard+2
13	kard+3
14	Kard+4
15	Kard+5
16	Kard+6
17	Kard+7
18	Kard+8
19	Kard+9
20	Hosszú Kard+0
21	Hosszú Kard+1
22	Hosszú Kard+2
23	Hosszú Kard+3
24	Hosszú Kard+4
25	Hosszú Kard+5
26	Hosszú Kard+6
27	Hosszú Kard+7
28	Hosszú Kard+8
29	Hosszú Kard+9
30	Sarló kard+0
31	Sarló kard+1
32	Sarló kard+2
33	Sarló kard+3
34	Sarló kard+4
35	Sarló kard+5
36	Sarló kard+6
37	Sarló kard+7
38	Sarló kard+8
39	Sarló kard+9
40	Bambuszkard+0
41	Bambuszkard+1
42	Bambuszkard+2
43	Bambuszkard+3
44	Bambuszkard+4
45	Bambuszkard+5
46	Bambuszkard+6
47	Bambuszkard+7
48	Bambuszkard+8
49	Bambuszkard+9
50	Széles Kard+0
51	Széles Kard+1
52	Széles Kard+2
53	Széles Kard+3
54	Széles Kard+4
55	Széles Kard+5
56	Széles Kard+6
57	Széles Kard+7
58	Széles Kard+8
59	Széles Kard+9
60	Ezüst Kard+0
61	Ezüst Kard+1
62	Ezüst Kard+2
63	Ezüst Kard+3
64	Ezüst Kard+4
65	Ezüst Kard+5
66	Ezüst Kard+6
67	Ezüst Kard+7
68	Ezüst Kard+8
69	Ezüst Kard+9
70	Orchideakard+0
71	Orchideakard+1
72	Orchideakard+2
73	Orchideakard+3
74	Orchideakard+4
75	Orchideakard+5
76	Orchideakard+6
77	Orchideakard+7
78	Orchideakard+8
79	Orchideakard+9
80	másfélkezes kard+0
81	másfélkezes kard+1
82	másfélkezes kard+2
83	másfélkezes kard+3
84	másfélkezes kard+4
85	másfélkezes kard+5
86	másfélkezes kard+6
87	másfélkezes kard+7
88	másfélkezes kard+8
89	másfélkezes kard+9
90	barbár kard+0
91	barbár kard+1
92	barbár kard+2
93	barbár kard+3
94	barbár kard+4
95	barbár kard+5
96	barbár kard+6
97	barbár kard+7
98	barbár kard+8
99	barbár kard+9
100	véres kard+0
101	véres kard+1
102	véres kard+2
103	véres kard+3
104	véres kard+4
105	véres kard+5
106	véres kard+6
107	véres kard+7
108	véres kard+8
109	véres kard+9
110	nagy kard+0
111	nagy kard+1
112	nagy kard+2
113	nagy kard+3
114	nagy kard+4
115	nagy kard+5
116	nagy kard+6
117	nagy kard+7
118	nagy kard+8
119	nagy kard+9
120	varázslókard+0
121	varázslókard+1
122	varázslókard+2
123	varázslókard+3
124	varázslókard+4
125	varázslókard+5
126	varázslókard+6
