Vnum	LocaleName
1	Yang
2	Versione italiana
10	Spada+0
11	Spada+1
12	Spada+2
13	Spada+3
14	Spada+4
15	Spada+5
16	Spada+6
17	Spada+7
18	Spada+8
19	Spada+9
20	Spada Lunga+0
21	Spada Lunga+1
22	Spada Lunga+2
23	Spada Lunga+3
24	Spada Lunga+4
25	Spada Lunga+5
26	Spada Lunga+6
27	Spada Lunga+7
28	Spada Lunga+8
29	Spada Lunga+9
30	Spada Luna Crescente+0
31	Spada Luna Crescente+1
32	Spada Luna Crescente+2
33	Spada Luna Crescente+3
34	Spada Luna Crescente+4
35	Spada Luna Crescente+5
36	Spada Luna Crescente+6
37	Spada Luna Crescente+7
38	Spada Luna Crescente+8
39	Spada Luna Crescente+9
40	Spada di Bambu+0
41	Spada di Bambu+1
42	Spada di Bambu+2
43	Spada di Bambu+3
44	Spada di Bambu+4
45	Spada di Bambu+5
46	Spada di Bambu+6
47	Spada di Bambu+7
48	Spada di Bambu+8
49	Spada di Bambu+9
50	Spada Larga+0
51	Spada Larga+1
52	Spada Larga+2
53	Spada Larga+3
54	Spada Larga+4
55	Spada Larga+5
56	Spada Larga+6
57	Spada Larga+7
58	Spada Larga+8
59	Spada Larga+9
60	Spada d'Argento+0
61	Spada d'Argento+1
62	Spada d'Argento+2
63	Spada d'Argento+3
64	Spada d'Argento+4
65	Spada d'Argento+5
66	Spada d'Argento+6
67	Spada d'Argento+7
68	Spada d'Argento+8
69	Spada d'Argento+9
70	Spada dell'Orchidea+0
71	Spada dell'Orchidea+1
72	Spada dell'Orchidea+2
73	Spada dell'Orchidea+3
74	Spada dell'Orchidea+4
75	Spada dell'Orchidea+5
76	Spada dell'Orchidea+6
77	Spada dell'Orchidea+7
78	Spada dell'Orchidea+8
79	Spada dell'Orchidea+9
80	Spada Bastarda+0
81	Spada Bastarda+1
82	Spada Bastarda+2
83	Spada Bastarda+3
84	Spada Bastarda+4
85	Spada Bastarda+5
86	Spada Bastarda+6
87	Spada Bastarda+7
88	Spada Bastarda+8
89	Spada Bastarda+9
90	Spada Barbara+0
91	Spada Barbara+1
92	Spada Barbara+2
93	Spada Barbara+3
94	Spada Barbara+4
95	Spada Barbara+5
96	Spada Barbara+6
97	Spada Barbara+7
98	Spada Barbara+8
99	Spada Barbara+9
100	Spada Insanguinata+0
101	Spada Insanguinata+1
102	Spada Insanguinata+2
103	Spada Insanguinata+3
104	Spada Insanguinata+4
105	Spada Insanguinata+5
106	Spada Insanguinata+6
107	Spada Insanguinata+7
108	Spada Insanguinata+8
109	Spada Insanguinata+9
110	Spada Grande+0
111	Spada Grande+1
112	Spada Grande+2
113	Spada Grande+3
114	Spada Grande+4
115	Spada Grande+5
116	Spada Grande+6
117	Spada Grande+7
118	Spada Grande+8
119	Spada Grande+9
120	Spada del Mago+0
121	Spada del Mago+1
122	Spada del Mago+2
123	Spada del Mago+3
124	Spada del Mago+4
125	Spada del Mago+5
126	Spada del Mago+6
127	Spada del Mago+7
128	Spada del Mago+8
129	Spada del Mago+9
130	Spada della Mezza Luna+0
131	Spada della Mezza Luna+1
132	Spada della Mezza Luna+2
133	Spada della Mezza Luna+3
134	Spada della Mezza Luna+4
135	Spada della Mezza Luna+5
136	Spada della Mezza Luna+6
137	Spada della Mezza Luna+7
138	Spada della Mezza Luna+8
139	Spada della Mezza Luna+9
140	Spada da Battaglia+0
141	Spada da Battaglia+1
142	Spada da Battaglia+2
143	Spada da Battaglia+3
144	Spada da Battaglia+4
145	Spada da Battaglia+5
146	Spada da Battaglia+6
147	Spada da Battaglia+7
148	Spada da Battaglia+8
149	Spada da Battaglia+9
150	Spada Zanna di Spirito+0
151	Spada Zanna di Spirito+1
152	Spada Zanna di Spirito+2
153	Spada Zanna di Spirito+3
154	Spada Zanna di Spirito+4
155	Spada Zanna di Spirito+5
156	Spada Zanna di Spirito+6
157	Spada Zanna di Spirito+7
158	Spada Zanna di Spirito+8
159	Spada Zanna di Spirito+9
160	Spada di Ninfa+0
161	Spada di Ninfa+1
162	Spada di Ninfa+2
163	Spada di Ninfa+3
164	Spada di Ninfa+4
165	Spada di Ninfa+5
166	Spada di Ninfa+6
167	Spada di Ninfa+7
168	Spada di Ninfa+8
169	Spada di Ninfa+9
170	Spada Pungolo+0
171	Spada Pungolo+1
172	Spada Pungolo+2
173	Spada Pungolo+3
174	Spada Pungolo+4
175	Spada Pungolo+5
176	Spada Pungolo+6
177	Spada Pungolo+7
178	Spada Pungolo+8
179	Spada Pungolo+9
180	Spada Velenosa+0
181	Spada Velenosa+1
182	Spada Velenosa+2
183	Spada Velenosa+3
184	Spada Velenosa+4
185	Spada Velenosa+5
186	Spada Velenosa+6
187	Spada Velenosa+7
188	Spada Velenosa+8
189	Spada Velenosa+9
190	Spada del Leone+0
191	Spada del Leone+1
192	Spada del Leone+2
193	Spada del Leone+3
194	Spada del Leone+4
195	Spada del Leone+5
196	Spada del Leone+6
197	Spada del Leone+7
198	Spada del Leone+8
199	Spada del Leone+9
200	Lama Tagliente+0
201	Lama Tagliente+1
202	Lama Tagliente+2
203	Lama Tagliente+3
204	Lama Tagliente+4
205	Lama Tagliente+5
206	Lama Tagliente+6
207	Lama Tagliente+7
208	Lama Tagliente+8
209	Lama Tagliente+9
210	Lama Mortale+0
211	Lama Mortale+1
212	Lama Mortale+2
213	Lama Mortale+3
214	Lama Mortale+4
215	Lama Mortale+5
216	Lama Mortale+6
217	Lama Mortale+7
218	Lama Mortale+8
219	Lama Mortale+9
220	Spada Lunare+0
221	Spada Lunare+1
222	Spada Lunare+2
223	Spada Lunare+3
224	Spada Lunare+4
225	Spada Lunare+5
226	Spada Lunare+6
227	Spada Lunare+7
228	Spada Lunare+8
229	Spada Lunare+9
230	Spada Divina+0
231	Spada Divina+1
232	Spada Divina+2
233	Spada Divina+3
234	Spada Divina+4
235	Spada Divina+5
236	Spada Divina+6
237	Spada Divina+7
238	Spada Divina+8
239	Spada Divina+9
240	Spada dell'Esorcismo+0
241	Spada dell'Esorcismo+1
242	Spada dell'Esorcismo+2
243	Spada dell'Esorcismo+3
244	Spada dell'Esorcismo+4
245	Spada dell'Esorcismo+5
246	Spada dell'Esorcismo+6
247	Spada dell'Esorcismo+7
248	Spada dell'Esorcismo+8
249	Spada dell'Esorcismo+9
250	Lama del Demone+0
251	Lama del Demone+1
252	Lama del Demone+2
253	Lama del Demone+3
254	Lama del Demone+4
255	Lama del Demone+5
256	Lama del Demone+6
257	Lama del Demone+7
258	Lama del Demone+8
259	Lama del Demone+9
260	Spada del Barone+0
261	Spada del Barone+1
262	Spada del Barone+2
263	Spada del Barone+3
264	Spada del Barone+4
265	Spada del Barone+5
266	Spada del Barone+6
267	Spada del Barone+7
268	Spada del Barone+8
269	Spada del Barone+9
270	Spada di Tritone+0
271	Spada di Tritone+1
272	Spada di Tritone+2
273	Spada di Tritone+3
274	Spada di Tritone+4
275	Spada di Tritone+5
276	Spada di Tritone+6
277	Spada di Tritone+7
278	Spada di Tritone+8
279	Spada di Tritone+9
280	Spada Santa+0
281	Spada Santa+1
282	Spada Santa+2
283	Spada Santa+3
284	Spada Santa+4
285	Spada Santa+5
286	Spada Santa+6
287	Spada Santa+7
288	Spada Santa+8
289	Spada Santa+9
290	Spada della Luna Piena+0
291	Spada della Luna Piena+1
292	Spada della Luna Piena+2
293	Spada della Luna Piena+3
294	Spada della Luna Piena+4
295	Spada della Luna Piena+5
296	Spada della Luna Piena+6
297	Spada della Luna Piena+7
298	Spada della Luna Piena+8
299	Spada della Luna Piena+9
300	Lama dello zodiaco+0
301	Lama dello zodiaco+1
302	Lama dello zodiaco+2
303	Lama dello zodiaco+3
304	Lama dello zodiaco+4
305	Lama dello zodiaco+5
306	Lama dello zodiaco+6
307	Lama dello zodiaco+7
308	Lama dello zodiaco+8
309	Lama dello zodiaco+9
310	Spada dello zodiaco+0
311	Spada dello zodiaco+1
312	Spada dello zodiaco+2
313	Spada dello zodiaco+3
314	Spada dello zodiaco+4
315	Spada dello zodiaco+5
316	Spada dello zodiaco+6
317	Spada dello zodiaco+7
318	Spada dello zodiaco+8
319	Spada dello zodiaco+9
320	Spada Drago scuro+0
321	Spada Drago scuro+1
322	Spada Drago scuro+2
323	Spada Drago scuro+3
324	Spada Drago scuro+4
325	Spada Drago scuro+5
326	Spada Drago scuro+6
327	Spada Drago scuro+7
328	Spada Drago scuro+8
329	Spada Drago scuro+9
330	Spada Drago scuro+10
331	Spada Drago scuro+11
332	Spada Drago scuro+12
333	Spada Drago scuro+13
334	Spada Drago scuro+14
335	Spada Drago scuro+15
340	Taglio Drago scuro+0
341	Taglio Drago scuro+1
342	Taglio Drago scuro+2
343	Taglio Drago scuro+3
344	Taglio Drago scuro+4
345	Taglio Drago scuro+5
346	Taglio Drago scuro+6
347	Taglio Drago scuro+7
348	Taglio Drago scuro+8
349	Taglio Drago scuro+9
350	Taglio Drago scuro+10
351	Taglio Drago scuro+11
352	Taglio Drago scuro+12
353	Taglio Drago scuro+13
354	Taglio Drago scuro+14
355	Taglio Drago scuro+15
360	Spada Serpens+0
361	Spada Serpens+1
362	Spada Serpens+2
363	Spada Serpens+3
364	Spada Serpens+4
365	Spada Serpens+5
366	Spada Serpens+6
367	Spada Serpens+7
368	Spada Serpens+8
369	Spada Serpens+9
370	Spada Serpens+10
371	Spada Serpens+11
372	Spada Serpens+12
373	Spada Serpens+13
374	Spada Serpens+14
375	Spada Serpens+15
376	Crea-Spada Serpens
380	Lama Serpens+0
381	Lama Serpens+1
382	Lama Serpens+2
383	Lama Serpens+3
384	Lama Serpens+4
385	Lama Serpens+5
386	Lama Serpens+6
387	Lama Serpens+7
388	Lama Serpens+8
389	Lama Serpens+9
390	Lama Serpens+10
391	Lama Serpens+11
392	Lama Serpens+12
393	Lama Serpens+13
394	Lama Serpens+14
395	Lama Serpens+15
396	Crea-Lama Serpens
460	Spada Runica +0
461	Spada Runica +1
462	Spada Runica +2
463	Spada Runica +3
464	Spada Runica +4
465	Spada Runica +5
466	Spada Runica +6
467	Spada Runica +7
468	Spada Runica +8
469	Spada Runica +9
470	Lama Dente di Drago +0
471	Lama Dente di Drago +1
472	Lama Dente di Drago +2
473	Lama Dente di Drago +3
474	Lama Dente di Drago +4
475	Lama Dente di Drago +5
476	Lama Dente di Drago +6
477	Lama Dente di Drago +7
478	Lama Dente di Drago +8
479	Lama Dente di Drago +9
500	Spada di cianite+0
501	Spada di cianite+1
502	Spada di cianite+2
503	Spada di cianite+3
504	Spada di cianite+4
505	Spada di cianite+5
506	Spada di cianite+6
507	Spada di cianite+7
508	Spada di cianite+8
509	Spada di cianite+9
1000	Pugnale+0
1001	Pugnale+1
1002	Pugnale+2
1003	Pugnale+3
1004	Pugnale+4
1005	Pugnale+5
1006	Pugnale+6
1007	Pugnale+7
1008	Pugnale+8
1009	Pugnale+9
1010	Pugnale del Cobra+0
1011	Pugnale del Cobra+1
1012	Pugnale del Cobra+2
1013	Pugnale del Cobra+3
1014	Pugnale del Cobra+4
1015	Pugnale del Cobra+5
1016	Pugnale del Cobra+6
1017	Pugnale del Cobra+7
1018	Pugnale del Cobra+8
1019	Pugnale del Cobra+9
1020	Pugnale a Forbice+0
1021	Pugnale a Forbice+1
1022	Pugnale a Forbice+2
1023	Pugnale a Forbice+3
1024	Pugnale a Forbice+4
1025	Pugnale a Forbice+5
1026	Pugnale a Forbice+6
1027	Pugnale a Forbice+7
1028	Pugnale a Forbice+8
1029	Pugnale a Forbice+9
1030	Coltello Fortunato+0
1031	Coltello Fortunato+1
1032	Coltello Fortunato+2
1033	Coltello Fortunato+3
1034	Coltello Fortunato+4
1035	Coltello Fortunato+5
1036	Coltello Fortunato+6
1037	Coltello Fortunato+7
1038	Coltello Fortunato+8
1039	Coltello Fortunato+9
1040	Coltello Morso Gatto+0
1041	Coltello Morso Gatto+1
1042	Coltello Morso Gatto+2
1043	Coltello Morso Gatto+3
1044	Coltello Morso Gatto+4
1045	Coltello Morso Gatto+5
1046	Coltello Morso Gatto+6
1047	Coltello Morso Gatto+7
1048	Coltello Morso Gatto+8
1049	Coltello Morso Gatto+9
1050	Pugnale Diabolico+0
1051	Pugnale Diabolico+1
1052	Pugnale Diabolico+2
1053	Pugnale Diabolico+3
1054	Pugnale Diabolico+4
1055	Pugnale Diabolico+5
1056	Pugnale Diabolico+6
1057	Pugnale Diabolico+7
1058	Pugnale Diabolico+8
1059	Pugnale Diabolico+9
1060	Pugnale Colpo Diabol.+0
1061	Pugnale Colpo Diabol.+1
1062	Pugnale Colpo Diabol.+2
1063	Pugnale Colpo Diabol.+3
1064	Pugnale Colpo Diabol.+4
1065	Pugnale Colpo Diabol.+5
1066	Pugnale Colpo Diabol.+6
1067	Pugnale Colpo Diabol.+7
1068	Pugnale Colpo Diabol.+8
1069	Pugnale Colpo Diabol.+9
1070	Pugnale Insanguinato+0
1071	Pugnale Insanguinato+1
1072	Pugnale Insanguinato+2
1073	Pugnale Insanguinato+3
1074	Pugnale Insanguinato+4
1075	Pugnale Insanguinato+5
1076	Pugnale Insanguinato+6
1077	Pugnale Insanguinato+7
1078	Pugnale Insanguinato+8
1079	Pugnale Insanguinato+9
1080	Coltello del costato+0
1081	Coltello del costato+1
1082	Coltello del costato+2
1083	Coltello del costato+3
1084	Coltello del costato+4
1085	Coltello del costato+5
1086	Coltello del costato+6
1087	Coltello del costato+7
1088	Coltello del costato+8
1089	Coltello del costato+9
1090	Chakram+0
1091	Chakram+1
1092	Chakram+2
1093	Chakram+3
1094	Chakram+4
1095	Chakram+5
1096	Chakram+6
1097	Chakram+7
1098	Chakram+8
1099	Chakram+9
1100	Coltello del Drago+0
1101	Coltello del Drago+1
1102	Coltello del Drago+2
1103	Coltello del Drago+3
1104	Coltello del Drago+4
1105	Coltello del Drago+5
1106	Coltello del Drago+6
1107	Coltello del Drago+7
1108	Coltello del Drago+8
1109	Coltello del Drago+9
1110	Coltello del Fulmine+0
1111	Coltello del Fulmine+1
1112	Coltello del Fulmine+2
1113	Coltello del Fulmine+3
1114	Coltello del Fulmine+4
1115	Coltello del Fulmine+5
1116	Coltello del Fulmine+6
1117	Coltello del Fulmine+7
1118	Coltello del Fulmine+8
1119	Coltello del Fulmine+9
1120	Coltello Siamese+0
1121	Coltello Siamese+1
1122	Coltello Siamese+2
1123	Coltello Siamese+3
1124	Coltello Siamese+4
1125	Coltello Siamese+5
1126	Coltello Siamese+6
1127	Coltello Siamese+7
1128	Coltello Siamese+8
1129	Coltello Siamese+9
1130	Chakram Ala di Diavolo+0
1131	Chakram Ala di Diavolo+1
1132	Chakram Ala di Diavolo+2
1133	Chakram Ala di Diavolo+3
1134	Chakram Ala di Diavolo+4
1135	Chakram Ala di Diavolo+5
1136	Chakram Ala di Diavolo+6
1137	Chakram Ala di Diavolo+7
1138	Chakram Ala di Diavolo+8
1139	Chakram Ala di Diavolo+9
1140	Coltello Denti di Sega+0
1141	Coltello Denti di Sega+1
1142	Coltello Denti di Sega+2
1143	Coltello Denti di Sega+3
1144	Coltello Denti di Sega+4
1145	Coltello Denti di Sega+5
1146	Coltello Denti di Sega+6
1147	Coltello Denti di Sega+7
1148	Coltello Denti di Sega+8
1149	Coltello Denti di Sega+9
1150	Coltello Raggio Solare+0
1151	Coltello Raggio Solare+1
1152	Coltello Raggio Solare+2
1153	Coltello Raggio Solare+3
1154	Coltello Raggio Solare+4
1155	Coltello Raggio Solare+5
1156	Coltello Raggio Solare+6
1157	Coltello Raggio Solare+7
1158	Coltello Raggio Solare+8
1159	Coltello Raggio Solare+9
1160	Coltello del Rigagnolo+0
1161	Coltello del Rigagnolo+1
1162	Coltello del Rigagnolo+2
1163	Coltello del Rigagnolo+3
1164	Coltello del Rigagnolo+4
1165	Coltello del Rigagnolo+5
1166	Coltello del Rigagnolo+6
1167	Coltello del Rigagnolo+7
1168	Coltello del Rigagnolo+8
1169	Coltello del Rigagnolo+9
1170	Pugnale Foglia nera+0
1171	Pugnale Foglia nera+1
1172	Pugnale Foglia nera+2
1173	Pugnale Foglia nera+3
1174	Pugnale Foglia nera+4
1175	Pugnale Foglia nera+5
