Vnum	LocaleName
1	Yang
2	Polska wersja
10	Miecz+0
11	Miecz+1
12	Miecz+2
13	Miecz+3
14	Miecz+4
15	Miecz+5
16	Miecz+6
17	Miecz+7
18	Miecz+8
19	Miecz+9
20	Długi Miecz+0
21	Długi Miecz+1
22	Długi Miecz+2
23	Długi Miecz+3
24	Długi Miecz+4
25	Długi Miecz+5
26	Długi Miecz+6
27	Długi Miecz+7
28	Długi Miecz+8
29	Długi Miecz+9
30	Sejmitar+0
31	Sejmitar+1
32	Sejmitar+2
33	Sejmitar+3
34	Sejmitar+4
35	Sejmitar+5
36	Sejmitar+6
37	Sejmitar+7
38	Sejmitar+8
39	Sejmitar+9
40	Stożkowy Miecz+0
41	Stożkowy Miecz+1
42	Stożkowy Miecz+2
43	Stożkowy Miecz+3
44	Stożkowy Miecz+4
45	Stożkowy Miecz+5
46	Stożkowy Miecz+6
47	Stożkowy Miecz+7
48	Stożkowy Miecz+8
49	Stożkowy Miecz+9
50	Szeroki Miecz+0
51	Szeroki Miecz+1
52	Szeroki Miecz+2
53	Szeroki Miecz+3
54	Szeroki Miecz+4
55	Szeroki Miecz+5
56	Szeroki Miecz+6
57	Szeroki Miecz+7
58	Szeroki Miecz+8
59	Szeroki Miecz+9
60	Srebrny Miecz+0
61	Srebrny Miecz+1
62	Srebrny Miecz+2
63	Srebrny Miecz+3
64	Srebrny Miecz+4
65	Srebrny Miecz+5
66	Srebrny Miecz+6
67	Srebrny Miecz+7
68	Srebrny Miecz+8
69	Srebrny Miecz+9
70	Miecz Storczykowy+0
71	Miecz Storczykowy+1
72	Miecz Storczykowy+2
73	Miecz Storczykowy+3
74	Miecz Storczykowy+4
75	Miecz Storczykowy+5
76	Miecz Storczykowy+6
77	Miecz Storczykowy+7
78	Miecz Storczykowy+8
79	Miecz Storczykowy+9
80	Miecz Półtoraręczny+0
81	Miecz Półtoraręczny+1
82	Miecz Półtoraręczny+2
83	Miecz Półtoraręczny+3
84	Miecz Półtoraręczny+4
85	Miecz Półtoraręczny+5
86	Miecz Półtoraręczny+6
87	Miecz Półtoraręczny+7
88	Miecz Półtoraręczny+8
89	Miecz Półtoraręczny+9
90	Miecz Barbarzyńcy+0
91	Miecz Barbarzyńcy+1
92	Miecz Barbarzyńcy+2
93	Miecz Barbarzyńcy+3
94	Miecz Barbarzyńcy+4
95	Miecz Barbarzyńcy+5
96	Miecz Barbarzyńcy+6
97	Miecz Barbarzyńcy+7
98	Miecz Barbarzyńcy+8
99	Miecz Barbarzyńcy+9
100	Krwawy Miecz+0
101	Krwawy Miecz+1
102	Krwawy Miecz+2
103	Krwawy Miecz+3
104	Krwawy Miecz+4
105	Krwawy Miecz+5
106	Krwawy Miecz+6
107	Krwawy Miecz+7
108	Krwawy Miecz+8
109	Krwawy Miecz+9
110	Wielki Miecz+0
111	Wielki Miecz+1
112	Wielki Miecz+2
113	Wielki Miecz+3
114	Wielki Miecz+4
115	Wielki Miecz+5
116	Wielki Miecz+6
117	Wielki Miecz+7
118	Wielki Miecz+8
119	Wielki Miecz+9
120	Miecz Lat. Maga+0
121	Miecz Lat. Maga+1
122	Miecz Lat. Maga+2
123	Miecz Lat. Maga+3
124	Miecz Lat. Maga+4
125	Miecz Lat. Maga+5
126	Miecz Lat. Maga+6
127	Miecz Lat. Maga+7
128	Miecz Lat. Maga+8
129	Miecz Lat. Maga+9
130	Pół-księżycowy Miecz+0
131	Pół-księżycowy Miecz+1
132	Pół-księżycowy Miecz+2
133	Pół-księżycowy Miecz+3
134	Pół-księżycowy Miecz+4
135	Pół-księżycowy Miecz+5
136	Pół-księżycowy Miecz+6
137	Pół-księżycowy Miecz+7
138	Pół-księżycowy Miecz+8
139	Pół-księżycowy Miecz+9
140	Miecz Bojowy+0
141	Miecz Bojowy+1
142	Miecz Bojowy+2
143	Miecz Bojowy+3
144	Miecz Bojowy+4
145	Miecz Bojowy+5
146	Miecz Bojowy+6
147	Miecz Bojowy+7
148	Miecz Bojowy+8
149	Miecz Bojowy+9
150	Miecz Szponu Ducha+0
151	Miecz Szponu Ducha+1
152	Miecz Szponu Ducha+2
153	Miecz Szponu Ducha+3
154	Miecz Szponu Ducha+4
155	Miecz Szponu Ducha+5
156	Miecz Szponu Ducha+6
157	Miecz Szponu Ducha+7
158	Miecz Szponu Ducha+8
159	Miecz Szponu Ducha+9
160	Miecz Nimfy+0
161	Miecz Nimfy+1
162	Miecz Nimfy+2
163	Miecz Nimfy+3
164	Miecz Nimfy+4
165	Miecz Nimfy+5
166	Miecz Nimfy+6
167	Miecz Nimfy+7
168	Miecz Nimfy+8
169	Miecz Nimfy+9
170	Miecz Żšdło+0
171	Miecz Żšdło+1
172	Miecz Żšdło+2
173	Miecz Żšdło+3
174	Miecz Żšdło+4
175	Miecz Żšdło+5
176	Miecz Żšdło+6
177	Miecz Żšdło+7
178	Miecz Żšdło+8
179	Miecz Żšdło+9
180	Zatruty miecz+0
181	Zatruty miecz+1
182	Zatruty miecz+2
183	Zatruty miecz+3
184	Zatruty miecz+4
185	Zatruty miecz+5
186	Zatruty miecz+6
187	Zatruty miecz+7
188	Zatruty miecz+8
189	Zatruty miecz+9
190	Lwi Miecz+0
191	Lwi Miecz+1
192	Lwi Miecz+2
193	Lwi Miecz+3
194	Lwi Miecz+4
195	Lwi Miecz+5
196	Lwi Miecz+6
197	Lwi Miecz+7
198	Lwi Miecz+8
199	Lwi Miecz+9
200	Brzegowe Ostrze+0
201	Brzegowe Ostrze+1
202	Brzegowe Ostrze+2
203	Brzegowe Ostrze+3
204	Brzegowe Ostrze+4
205	Brzegowe Ostrze+5
206	Brzegowe Ostrze+6
207	Brzegowe Ostrze+7
208	Brzegowe Ostrze+8
209	Brzegowe Ostrze+9
210	miercionone Ostrze+0
211	miercionone Ostrze+1
212	miercionone Ostrze+2
213	miercionone Ostrze+3
214	miercionone Ostrze+4
215	miercionone Ostrze+5
216	miercionone Ostrze+6
217	miercionone Ostrze+7
218	miercionone Ostrze+8
219	miercionone Ostrze+9
220	Księżycowy Miecz+0
221	Księżycowy Miecz+1
222	Księżycowy Miecz+2
223	Księżycowy Miecz+3
224	Księżycowy Miecz+4
225	Księżycowy Miecz+5
226	Księżycowy Miecz+6
227	Księżycowy Miecz+7
228	Księżycowy Miecz+8
229	Księżycowy Miecz+9
230	Niebiański Miecz+0
231	Niebiański Miecz+1
232	Niebiański Miecz+2
233	Niebiański Miecz+3
234	Niebiański Miecz+4
235	Niebiański Miecz+5
236	Niebiański Miecz+6
237	Niebiański Miecz+7
238	Niebiański Miecz+8
239	Niebiański Miecz+9
240	Miecz Egzorcysty+0
241	Miecz Egzorcysty+1
242	Miecz Egzorcysty+2
243	Miecz Egzorcysty+3
244	Miecz Egzorcysty+4
245	Miecz Egzorcysty+5
246	Miecz Egzorcysty+6
247	Miecz Egzorcysty+7
248	Miecz Egzorcysty+8
249	Miecz Egzorcysty+9
250	Demoniczne Ostrze+0
251	Demoniczne Ostrze+1
252	Demoniczne Ostrze+2
253	Demoniczne Ostrze+3
254	Demoniczne Ostrze+4
255	Demoniczne Ostrze+5
256	Demoniczne Ostrze+6
257	Demoniczne Ostrze+7
258	Demoniczne Ostrze+8
259	Demoniczne Ostrze+9
260	Miecz Barona+0
261	Miecz Barona+1
262	Miecz Barona+2
263	Miecz Barona+3
264	Miecz Barona+4
265	Miecz Barona+5
266	Miecz Barona+6
267	Miecz Barona+7
268	Miecz Barona+8
269	Miecz Barona+9
270	Miecz Trytona+0
271	Miecz Trytona+1
272	Miecz Trytona+2
273	Miecz Trytona+3
274	Miecz Trytona+4
275	Miecz Trytona+5
276	Miecz Trytona+6
277	Miecz Trytona+7
278	Miecz Trytona+8
279	Miecz Trytona+9
280	więty Miecz+0
281	więty Miecz+1
282	więty Miecz+2
283	więty Miecz+3
284	więty Miecz+4
285	więty Miecz+5
286	więty Miecz+6
287	więty Miecz+7
288	więty Miecz+8
289	więty Miecz+9
290	Miecz Pełni Księżyca+0
291	Miecz Pełni Księżyca+1
292	Miecz Pełni Księżyca+2
293	Miecz Pełni Księżyca+3
294	Miecz Pełni Księżyca+4
295	Miecz Pełni Księżyca+5
296	Miecz Pełni Księżyca+6
297	Miecz Pełni Księżyca+7
298	Miecz Pełni Księżyca+8
299	Miecz Pełni Księżyca+9
300	Ostrze Zodiaku+0
301	Ostrze Zodiaku+1
302	Ostrze Zodiaku+2
303	Ostrze Zodiaku+3
304	Ostrze Zodiaku+4
305	Ostrze Zodiaku+5
306	Ostrze Zodiaku+6
307	Ostrze Zodiaku+7
308	Ostrze Zodiaku+8
309	Ostrze Zodiaku+9
310	Miecz Zodiaku+0
311	Miecz Zodiaku+1
312	Miecz Zodiaku+2
313	Miecz Zodiaku+3
314	Miecz Zodiaku+4
315	Miecz Zodiaku+5
316	Miecz Zodiaku+6
317	Miecz Zodiaku+7
318	Miecz Zodiaku+8
319	Miecz Zodiaku+9
320	Miecz Smoka Mroku+0
321	Miecz Smoka Mroku+1
322	Miecz Smoka Mroku+2
323	Miecz Smoka Mroku+3
324	Miecz Smoka Mroku+4
325	Miecz Smoka Mroku+5
326	Miecz Smoka Mroku+6
327	Miecz Smoka Mroku+7
328	Miecz Smoka Mroku+8
329	Miecz Smoka Mroku+9
330	Miecz Smoka Mroku+10
331	Miecz Smoka Mroku+11
332	Miecz Smoka Mroku+12
333	Miecz Smoka Mroku+13
334	Miecz Smoka Mroku+14
335	Miecz Smoka Mroku+15
340	Brzeszczot Smoka Mrok+0
341	Brzeszczot Smoka Mrok+1
342	Brzeszczot Smoka Mrok+2
343	Brzeszczot Smoka Mrok+3
344	Brzeszczot Smoka Mrok+4
345	Brzeszczot Smoka Mrok+5
346	Brzeszczot Smoka Mrok+6
347	Brzeszczot Smoka Mrok+7
348	Brzeszczot Smoka Mrok+8
349	Brzeszczot Smoka Mrok+9
350	Brzeszczot Smoka Mrok+10
351	Brzeszczot Smoka Mrok+11
352	Brzeszczot Smoka Mrok+12
353	Brzeszczot Smoka Mrok+13
354	Brzeszczot Smoka Mrok+14
355	Brzeszczot Smoka Mrok+15
360	Miecz Wężowy+0
361	Miecz Wężowy+1
362	Miecz Wężowy+2
363	Miecz Wężowy+3
364	Miecz Wężowy+4
365	Miecz Wężowy+5
366	Miecz Wężowy+6
367	Miecz Wężowy+7
368	Miecz Wężowy+8
369	Miecz Wężowy+9
370	Miecz Wężowy+10
371	Miecz Wężowy+11
372	Miecz Wężowy+12
373	Miecz Wężowy+13
374	Miecz Wężowy+14
375	Miecz Wężowy+15
376	Miecz Wężowy (wykon.)
380	Ostrze Wężowe+0
381	Ostrze Wężowe+1
382	Ostrze Wężowe+2
383	Ostrze Wężowe+3
384	Ostrze Wężowe+4
385	Ostrze Wężowe+5
386	Ostrze Wężowe+6
387	Ostrze Wężowe+7
388	Ostrze Wężowe+8
389	Ostrze Wężowe+9
390	Ostrze Wężowe+10
391	Ostrze Wężowe+11
392	Ostrze Wężowe+12
393	Ostrze Wężowe+13
394	Ostrze Wężowe+14
395	Ostrze Wężowe+15
396	Ostrze Wężowe (wykon.)
460	Runiczny Miecz+0
461	Runiczny Miecz+1
462	Runiczny Miecz+2
463	Runiczny Miecz+3
464	Runiczny Miecz+4
465	Runiczny Miecz+5
466	Runiczny Miecz+6
467	Runiczny Miecz+7
468	Runiczny Miecz+8
469	Runiczny Miecz+9
470	Klinga Smoczego Kła+0
471	Klinga Smoczego Kła+1
472	Klinga Smoczego Kła+2
473	Klinga Smoczego Kła+3
474	Klinga Smoczego Kła+4
475	Klinga Smoczego Kła+5
476	Klinga Smoczego Kła+6
477	Klinga Smoczego Kła+7
478	Klinga Smoczego Kła+8
479	Klinga Smoczego Kła+9
500	Cyjanitowy Miecz+0
501	Cyjanitowy Miecz+1
502	Cyjanitowy Miecz+2
503	Cyjanitowy Miecz+3
504	Cyjanitowy Miecz+4
505	Cyjanitowy Miecz+5
506	Cyjanitowy Miecz+6
507	Cyjanitowy Miecz+7
508	Cyjanitowy Miecz+8
509	Cyjanitowy Miecz+9
1000	Sztylet+0
1001	Sztylet+1
1002	Sztylet+2
1003	Sztylet+3
1004	Sztylet+4
1005	Sztylet+5
1006	Sztylet+6
1007	Sztylet+7
1008	Sztylet+8
1009	Sztylet+9
1010	Sztylet Kobry+0
1011	Sztylet Kobry+1
1012	Sztylet Kobry+2
1013	Sztylet Kobry+3
1014	Sztylet Kobry+4
1015	Sztylet Kobry+5
1016	Sztylet Kobry+6
1017	Sztylet Kobry+7
1018	Sztylet Kobry+8
1019	Sztylet Kobry+9
1020	Sztylet Nożycowy+0
1021	Sztylet Nożycowy+1
1022	Sztylet Nożycowy+2
1023	Sztylet Nożycowy+3
1024	Sztylet Nożycowy+4
1025	Sztylet Nożycowy+5
1026	Sztylet Nożycowy+6
1027	Sztylet Nożycowy+7
1028	Sztylet Nożycowy+8
1029	Sztylet Nożycowy+9
1030	Nóż Szczęcia+0
1031	Nóż Szczęcia+1
1032	Nóż Szczęcia+2
1033	Nóż Szczęcia+3
1034	Nóż Szczęcia+4
1035	Nóż Szczęcia+5
1036	Nóż Szczęcia+6
1037	Nóż Szczęcia+7
