Vnum	LocalizedName
101	Dziki Pies
102	Wilk
103	Alfa Wilk
104	Nieb. Wilk
105	Nieb. Alfa Wilk
106	Szary Wilk
107	Szary Alfa Wilk
108	Dzik
109	Czerw. Dzik
110	Niedwied
111	Niedw. Grizzly
112	Czar. Niedw.
113	Bršz. Niedw.
114	Tygrys
115	Biały Tygrys
131	Przeklęty Wilk
132	Przeklęty Alfa Wilk
133	Przeklęty Nieb. Wilk
134	Przekl. Nieb. Alfa Wilk
135	Przeklęty Szary Wilk
136	Przekl. Szary Alfa Wilk
137	Przeklęty Dzik
138	Przeklęty Czerw. Dzik
139	Przeklęty Niedw.
140	Przekl. Niedw. Grizzly
141	Przeklęty Czar. Niedw.
142	Przeklęty Bršz. Niedw.
143	Przeklęty Tygrys
144	Przeklęty Biały Tygrys
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Głodny Zabłškany Pies
172	Głodny Wilk
173	Głodny Alfa Wilk
174	Głodny Nieb. Wilk
175	Głodny Nieb. Alfa Wilk
176	Głodny Szary Wilk
177	Głodny Szary Alfa Wilk
178	Głodny Dzik
179	Głodny Czerw. Dzik
180	Głodny Niedw.
181	Głodny Niedw. Grizzly
182	Głodny Czar. Niedw.
183	Głodny Bršz. Niedw.
184	Głodny Tygrys
185	Głodny Biały Tygrys
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Zaprzys. Żołnierz
302	Zaprzys. Łucznik
303	Zaprzys. Generał
304	Zaprzys. Komandor
331	Zaprzys. Żołnierz
332	Zaprzys. Łucznik
333	Zaprzys. Generał
334	Zaprzys. Komandor
351	Tchórz. Zaprzys. Żołn.
352	Tchórz. Zaprzys. Łucznik
353	Tchórz. Zaprzys. Generał
354	Tchórz. Zaprzys. Komand.
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Bezduszna Mi-Jung
396	Bezduszna Eun-Jung
397	Bezduszna Se-Rang
398	Bezduszna Jin-Hee
401	Żołnierz Czarn. Wiatru
402	Maniak Czarnego Wiatru
403	Łucznik Czarnego Wiatru
404	Jak-To Czarnego Wiatru
405	To-Su Czarnego Wiatru
406	Gu-Ryung Czarnego Wiatru
431	Żołnierz Czarn. Burzy
432	Maniak Czarn. Burzy
433	Łucznik Czarn. Burzy
434	Joh-Hwan Czarn. Burzy
435	Kyuk-Jan Czarn. Burzy
436	Pho-Hwan Czarn. Burzy
451	Zły Czar. Burz. Żołnierz
452	Zły Czar. Burz. Maniak
453	Zły Czar. Burz. Łucznik
454	Zły Czar. Burz. Joh-Hwan
455	Zły Czar. Burz.Kyuk-Jang
456	Zły Czar. Burz. Pho-Hwan
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Dziki Żołnierz Piechoty
502	Dziki Sługa
503	Dziki Łucznik
504	Dziki Generał
531	Best. Żołnierz
532	Best. Maniak
533	Bestialski Łucznik
534	Best. Specjalista
551	Silny Dziki Piechur.
552	Silny Dziki Sługa
553	Silny Dziki Łucznik
554	Silny Dziki Generał
591	Best. Kapitan
595	Best. Guem-Chul
601	Ork
602	Ork Zwiadowca
603	Ork Wojownik
604	Ork Czarodziej
631	Elit. Ork
632	Elit. Ork Zwiadowca
633	Elit. Ork Wojownik
634	Elit. Ork Czarodziej
635	Elit. Ork Generał
636	Czarny Ork
637	Czarny Ork Zwiadowca
651	Duży Łysy Ork
652	Duży Łysy Ork Zwiadowca
653	Duży Łysy Ork Wojownik
654	Duży Łysy Ork Czarodziej
655	Duży Łysy Ork Generał
656	Łysy Czarny Ork
657	Olbrz. Łysy Czar. Ork
691	Wódz Orków
692	Elit. Wódz Orków
693	Odrodzony Wódz Orków
701	Ezot. Fanatyk
702	Ezot. Arahan
703	Ezot. Wojownik Arahan
704	Wódz Ezot. Arahan
705	Ezot. Egzekutor
706	Ezot. Dręczyciel
707	Ezot. Przyzywacz
731	Elit. Ezot. Fanatyk
732	Elit. Ezot. Arahan
733	Elit. Ezot. Wojownik
734	Elit. Ezot. Wódz
735	Elit. Ezot. Egzekutor
736	Elit. Ezot. Dręczyciel
737	Elit. Ezot. Przyzywacz
751	Wysoki Fanatyk
752	Wysoki Arahan
753	Wysoki Wojownik Arahan
754	Wysoki Elit. Arahan
755	Wysoki miercionony
756	Wysoki Dręczyciel
757	Wysoki Przywoływacz
771	Best. Fanatyk
772	Best. Arahan
773	Best. Wojow. Arahan
774	Best. Wódz Arahan
775	Best. miercionony
776	Best. Dręczyciel
777	Best. Przywoływacz
791	Ezot. Przyw.
792	Reinkar. Ezot. Przyw.
793	Elit. Ezot. Przyw.
794	Elit. Duch Ezot. Przyw.
795	Elit. Wojownik
796	Elit. Ezot. Wojownik
901	Duch Martwego Ciała
902	Zarażony Pies
