Vnum	LocalizedName
101	كلب برّي
102	ذئب
103	ذئب البادية
104	الذئب الأزرق
105	ذئب البادية الأزرق
106	الذئب الرمادي
107	ذئب البادية الرمادي
108	خنزير بري
109	خنزير بري أحمر
110	دب
111	دب أشيب
112	دب أسود
113	دب بنيّّ
114	نمر
115	نمر أبيض
131	ذئب ملعون
132	ذئب بادية ملعون
133	ذئب أزرق ملعون
134	ذئب بادية أزرق ملعون
135	ذئب رمادي ملعون
136	ذئب بادية رمادي ملعون
137	خنزير بري ملعون
138	خنزير بري أحمر ملعون
139	دب ملعون
140	دب أشيب ملعون
141	دب أسود ملعون
142	دب بني ملعون
143	نمر ملعون
144	نمر أبيض ملعون
151	كونج-مك
152	مو-رنج
153	جوغ-هيول
154	يونغ-جي
155	لي-أن
171	كلب جائع تائه
172	ذئب جائع
173	ذئب بادية جائع
174	ذئب أزرق جائع
175	ذئب بادية أزرق جائع
176	ذئب رمادي جائع
177	ذئب بادية رمادي جائع
178	خنزير بري جائع
179	خنزير بري أحمر جائع
180	دب جائع
181	دب أشيب جائع
182	دب أسود جائع
183	دب بني جائع
184	نمر جائع
185	نمر أبيض جائع
191	ليكوس
192	سكروفا
193	برا
194	تيغرس
301	جندية قاسمي اليمين أبيض
302	رامية سهام قاسم يمين أب.
303	جنرالة قاسمي اليمين أبيض
304	قائدة قاسمي اليمين أبيض
331	جندية قاسمي اليمين أبيض
332	رامية سهام قاسم يمين أب.
333	جنرالة قاسمي اليمين أبيض
334	قائدة قاسمي اليمين أبيض
351	جندي جبان قاسم.يمين أبيض
352	رامي سهام جبان قاسم. ي.أ
353	جنرال جبان قاسم. ي.أ
354	قائد جبان قاسم. ي.أ
391	مي-جونغ
392	اون-جونغ
393	سي-رانغ
394	جن-هي
395	مي-جونغ المرتعشة
396	اون-جونغ المرتعشة
397	سي-رانغ المرتعشة
398	جن-هي المرتعشة
401	جندي الريح الأسود
402	المهووس الريحي الأسود
403	رامي سهام الريحي الأسود
404	جاك-تو الريحي الأسود
405	طو-سو الريحي الأسود
406	غو-رينغ الريحي الأسود
431	جندي عاصفي أسود
432	المهووس العاصفي الأسود
433	رامي السهام الأسود
434	جوه-هوان العاصفي الأسود
435	كيوك-جان العاصفي الأسود
436	فو-هوان العاصفي الأسود
451	جندي عاصفي أسود خبيث
452	مهووس عاصفي خبيث
453	رامي سهام عاصفي خبيث
454	جو-هوان-العاصفي الخبيث
455	كيك جانج العاصفي الخبيث
456	فو هوان العاصفي الخبيث
491	ماهون
492	بو
493	غو-بي
494	شوونغ
501	جندي مشاة متوحش
502	مطيع متوحش
503	رامي سهام وحشي
504	جنرال متوحش
531	جندي متوحش
532	مهووس متوحش
533	رامي سهام متوحش
534	اخصائي متوحش
551	جندي مشاة متوحش قوي
552	مطيع قوي وحشي
553	رامي سهام قوي وحشي
554	جنرال قوي وحشي
591	زعيم متوحش
595	جوم شل متوحش
601	غول
602	غول جاسوس
603	غول مقاتل
604	غول ساحر
631	غول فخور
632	غول جاسوس فخور
633	غول مقاتل فخور
634	غول ساحر فخور
635	جنرال غول فخور
636	غول أسود
637	غول أسود عملاق
651	غول كبير شجاع
652	غول جاسوس كبير شجاع
653	محارب غول كبير شجاع
654	ساحر غول كبير شجاع
655	جنرال غول كبير شجاع
656	غول أسود شجاع
657	غول عملاق أسود شجاع
691	الغول الأعلى
692	الغول الأعلى الشرير
693	قائد غول شبح
701	متعصب ظلامي
702	أراهان ظلامي
703	المحارب الشرير
704	اراهان الأعلى الشرير
705	الجلاّد الشرير
706	مضطهد شرير
707	مشعوذ شرير
731	متعصب ظلامي فخور
732	أراهان ظلامي فخور
733	مقاتل ظلامي فخور
734	كولونيل ظلامي فخور
735	رامي ظلامي فخور
736	مضطهد شرير فخور
737	ساحر ظلامي فخور
