Vnum	LocaleName
1	Yang
2	Anglická verze
10	Meè+0
11	Meè+1
12	Meè+2
13	Meè+3
14	Meè+4
15	Meè+5
16	Meè+6
17	Meè+7
18	Meè+8
19	Meè+9
20	Dlouhı meè+0
21	Dlouhı meè+1
22	Dlouhı meè+2
23	Dlouhı meè+3
24	Dlouhı meè+4
25	Dlouhı meè+5
26	Dlouhı meè+6
27	Dlouhı meè+7
28	Dlouhı meè+8
29	Dlouhı meè+9
30	Srpovitı meè+0
31	Srpovitı meè+1
32	Srpovitı meè+2
33	Srpovitı meè+3
34	Srpovitı meè+4
35	Srpovitı meè+5
36	Srpovitı meè+6
37	Srpovitı meè+7
38	Srpovitı meè+8
39	Srpovitı meè+9
40	Bambusovı meè+0
41	Bambusovı meè+1
42	Bambusovı meè+2
43	Bambusovı meè+3
44	Bambusovı meè+4
45	Bambusovı meè+5
46	Bambusovı meè+6
47	Bambusovı meè+7
48	Bambusovı meè+8
49	Bambusovı meè+9
50	Širokı meè+0
51	Širokı meè+1
52	Širokı meè+2
53	Širokı meè+3
54	Širokı meè+4
55	Širokı meè+5
56	Širokı meè+6
57	Širokı meè+7
58	Širokı meè+8
59	Širokı meè+9
60	Støíbrnı meè+0
61	Støíbrnı meè+1
62	Støíbrnı meè+2
63	Støíbrnı meè+3
64	Støíbrnı meè+4
65	Støíbrnı meè+5
66	Støíbrnı meè+6
67	Støíbrnı meè+7
68	Støíbrnı meè+8
69	Støíbrnı meè+9
70	Orchideomeè+0
71	Orchideomeè+1
72	Orchideomeè+2
73	Orchideomeè+3
74	Orchideomeè+4
75	Orchideomeè+5
76	Orchideomeè+6
77	Orchideomeè+7
78	Orchideomeè+8
79	Orchideomeè+9
80	Jedenapùlruèní meè+0
81	Jedenapùlruèní meè+1
82	Jedenapùlruèní meè+2
83	Jedenapùlruèní meè+3
84	Jedenapùlruèní meè+4
85	Jedenapùlruèní meè+5
86	Jedenapùlruèní meè+6
87	Jedenapùlruèní meè+7
88	Jedenapùlruèní meè+8
89	Jedenapùlruèní meè+9
90	Barbarskı meè+0
91	Barbarskı meè+1
92	Barbarskı meè+2
93	Barbarskı meè+3
94	Barbarskı meè+4
95	Barbarskı meè+5
96	Barbarskı meè+6
97	Barbarskı meè+7
98	Barbarskı meè+8
99	Barbarskı meè+9
100	Krvavı meè+0
101	Krvavı meè+1
102	Krvavı meè+2
103	Krvavı meè+3
104	Krvavı meè+4
105	Krvavı meè+5
106	Krvavı meè+6
107	Krvavı meè+7
108	Krvavı meè+8
109	Krvavı meè+9
110	Velkı meè+0
111	Velkı meè+1
112	Velkı meè+2
113	Velkı meè+3
114	Velkı meè+4
115	Velkı meè+5
116	Velkı meè+6
117	Velkı meè+7
118	Velkı meè+8
119	Velkı meè+9
120	Meè kouzelníka+0
121	Meè kouzelníka+1
122	Meè kouzelníka+2
123	Meè kouzelníka+3
124	Meè kouzelníka+4
125	Meè kouzelníka+5
126	Meè kouzelníka+6
127	Meè kouzelníka+7
128	Meè kouzelníka+8
129	Meè kouzelníka+9
130	Pùlmìsíèní meè+0
131	Pùlmìsíèní meè+1
132	Pùlmìsíèní meè+2
133	Pùlmìsíèní meè+3
134	Pùlmìsíèní meè+4
135	Pùlmìsíèní meè+5
136	Pùlmìsíèní meè+6
137	Pùlmìsíèní meè+7
138	Pùlmìsíèní meè+8
139	Pùlmìsíèní meè+9
140	Bitevní meè+0
141	Bitevní meè+1
142	Bitevní meè+2
143	Bitevní meè+3
144	Bitevní meè+4
145	Bitevní meè+5
146	Bitevní meè+6
147	Bitevní meè+7
148	Bitevní meè+8
149	Bitevní meè+9
150	Ozubená èepel ducha+0
151	Ozubená èepel ducha+1
152	Ozubená èepel ducha+2
153	Ozubená èepel ducha+3
154	Ozubená èepel ducha+4
155	Ozubená èepel ducha+5
156	Ozubená èepel ducha+6
157	Ozubená èepel ducha+7
158	Ozubená èepel ducha+8
159	Ozubená èepel ducha+9
160	Meè víly+0
161	Meè víly+1
162	Meè víly+2
163	Meè víly+3
164	Meè víly+4
165	Meè víly+5
166	Meè víly+6
167	Meè víly+7
168	Meè víly+8
169	Meè víly+9
170	Bodák+0
171	Bodák+1
172	Bodák+2
173	Bodák+3
174	Bodák+4
175	Bodák+5
176	Bodák+6
177	Bodák+7
178	Bodák+8
179	Bodák+9
180	Jedovatı meè+0
181	Jedovatı meè+1
182	Jedovatı meè+2
183	Jedovatı meè+3
184	Jedovatı meè+4
185	Jedovatı meè+5
186	Jedovatı meè+6
187	Jedovatı meè+7
188	Jedovatı meè+8
189	Jedovatı meè+9
190	Lví meè+0
191	Lví meè+1
192	Lví meè+2
193	Lví meè+3
194	Lví meè+4
195	Lví meè+5
196	Lví meè+6
197	Lví meè+7
198	Lví meè+8
199	Lví meè+9
200	Øezná èepel+0
201	Øezná èepel+1
202	Øezná èepel+2
203	Øezná èepel+3
204	Øezná èepel+4
205	Øezná èepel+5
206	Øezná èepel+6
207	Øezná èepel+7
208	Øezná èepel+8
209	Øezná èepel+9
210	Smrtící èepel+0
211	Smrtící èepel+1
212	Smrtící èepel+2
213	Smrtící èepel+3
214	Smrtící èepel+4
215	Smrtící èepel+5
216	Smrtící èepel+6
217	Smrtící èepel+7
218	Smrtící èepel+8
219	Smrtící èepel+9
220	Mìsíèní meè+0
221	Mìsíèní meè+1
222	Mìsíèní meè+2
223	Mìsíèní meè+3
224	Mìsíèní meè+4
225	Mìsíèní meè+5
226	Mìsíèní meè+6
227	Mìsíèní meè+7
228	Mìsíèní meè+8
229	Mìsíèní meè+9
230	Nebeskı meè+0
231	Nebeskı meè+1
232	Nebeskı meè+2
233	Nebeskı meè+3
234	Nebeskı meè+4
235	Nebeskı meè+5
236	Nebeskı meè+6
237	Nebeskı meè+7
238	Nebeskı meè+8
239	Nebeskı meè+9
240	Meè exorcismu+0
241	Meè exorcismu+1
242	Meè exorcismu+2
243	Meè exorcismu+3
244	Meè exorcismu+4
245	Meè exorcismu+5
246	Meè exorcismu+6
247	Meè exorcismu+7
248	Meè exorcismu+8
