Vnum	LocaleName
1	Yang
2	Deutsche Version
10	Schwert+0
11	Schwert+1
12	Schwert+2
13	Schwert+3
14	Schwert+4
15	Schwert+5
16	Schwert+6
17	Schwert+7
18	Schwert+8
19	Schwert+9
20	Langschwert+0
21	Langschwert+1
22	Langschwert+2
23	Langschwert+3
24	Langschwert+4
25	Langschwert+5
26	Langschwert+6
27	Langschwert+7
28	Langschwert+8
29	Langschwert+9
30	Sichelschwert+0
31	Sichelschwert+1
32	Sichelschwert+2
33	Sichelschwert+3
34	Sichelschwert+4
35	Sichelschwert+5
36	Sichelschwert+6
37	Sichelschwert+7
38	Sichelschwert+8
39	Sichelschwert+9
40	Bambusschwert+0
41	Bambusschwert+1
42	Bambusschwert+2
43	Bambusschwert+3
44	Bambusschwert+4
45	Bambusschwert+5
46	Bambusschwert+6
47	Bambusschwert+7
48	Bambusschwert+8
49	Bambusschwert+9
50	Breitschwert+0
51	Breitschwert+1
52	Breitschwert+2
53	Breitschwert+3
54	Breitschwert+4
55	Breitschwert+5
56	Breitschwert+6
57	Breitschwert+7
58	Breitschwert+8
59	Breitschwert+9
60	Silberschwert+0
61	Silberschwert+1
62	Silberschwert+2
63	Silberschwert+3
64	Silberschwert+4
65	Silberschwert+5
66	Silberschwert+6
67	Silberschwert+7
68	Silberschwert+8
69	Silberschwert+9
70	Orchideenschwert+0
71	Orchideenschwert+1
72	Orchideenschwert+2
73	Orchideenschwert+3
74	Orchideenschwert+4
75	Orchideenschwert+5
76	Orchideenschwert+6
77	Orchideenschwert+7
78	Orchideenschwert+8
79	Orchideenschwert+9
80	Anderthalbhänder+0
81	Anderthalbhänder+1
82	Anderthalbhänder+2
83	Anderthalbhänder+3
84	Anderthalbhänder+4
85	Anderthalbhänder+5
86	Anderthalbhänder+6
87	Anderthalbhänder+7
88	Anderthalbhänder+8
89	Anderthalbhänder+9
90	Barbarenschwert+0
91	Barbarenschwert+1
92	Barbarenschwert+2
93	Barbarenschwert+3
94	Barbarenschwert+4
95	Barbarenschwert+5
96	Barbarenschwert+6
97	Barbarenschwert+7
98	Barbarenschwert+8
99	Barbarenschwert+9
100	Blutiges Schwert+0
101	Blutiges Schwert+1
102	Blutiges Schwert+2
103	Blutiges Schwert+3
104	Blutiges Schwert+4
105	Blutiges Schwert+5
106	Blutiges Schwert+6
107	Blutiges Schwert+7
108	Blutiges Schwert+8
109	Blutiges Schwert+9
110	Großschwert+0
111	Großschwert+1
112	Großschwert+2
113	Großschwert+3
114	Großschwert+4
115	Großschwert+5
116	Großschwert+6
117	Großschwert+7
118	Großschwert+8
119	Großschwert+9
120	Zaubererschwert+0
121	Zaubererschwert+1
122	Zaubererschwert+2
123	Zaubererschwert+3
124	Zaubererschwert+4
125	Zaubererschwert+5
126	Zaubererschwert+6
127	Zaubererschwert+7
128	Zaubererschwert+8
129	Zaubererschwert+9
130	Halbmondschwert+0
131	Halbmondschwert+1
132	Halbmondschwert+2
133	Halbmondschwert+3
134	Halbmondschwert+4
135	Halbmondschwert+5
136	Halbmondschwert+6
137	Halbmondschwert+7
138	Halbmondschwert+8
139	Halbmondschwert+9
140	Schlachtschwert+0
141	Schlachtschwert+1
142	Schlachtschwert+2
143	Schlachtschwert+3
144	Schlachtschwert+4
145	Schlachtschwert+5
146	Schlachtschwert+6
147	Schlachtschwert+7
148	Schlachtschwert+8
149	Schlachtschwert+9
150	Geisterzahnklinge+0
151	Geisterzahnklinge+1
152	Geisterzahnklinge+2
153	Geisterzahnklinge+3
154	Geisterzahnklinge+4
155	Geisterzahnklinge+5
156	Geisterzahnklinge+6
157	Geisterzahnklinge+7
158	Geisterzahnklinge+8
159	Geisterzahnklinge+9
160	Nymphenschwert+0
161	Nymphenschwert+1
162	Nymphenschwert+2
163	Nymphenschwert+3
164	Nymphenschwert+4
165	Nymphenschwert+5
166	Nymphenschwert+6
167	Nymphenschwert+7
168	Nymphenschwert+8
169	Nymphenschwert+9
170	Stichschwert+0
171	Stichschwert+1
172	Stichschwert+2
173	Stichschwert+3
174	Stichschwert+4
175	Stichschwert+5
176	Stichschwert+6
177	Stichschwert+7
178	Stichschwert+8
179	Stichschwert+9
180	Giftschwert+0
181	Giftschwert+1
182	Giftschwert+2
183	Giftschwert+3
184	Giftschwert+4
