Vnum	LocaleName
1	Yang
2	Dansk version
10	Sværd +0
11	Sværd +1
12	Sværd +2
13	Sværd +3
14	Sværd +4
15	Sværd +5
16	Sværd +6
17	Sværd +7
18	Sværd +8
19	Sværd +9
20	Langsværd +0
21	Langsværd +1
22	Langsværd +2
23	Langsværd +3
24	Langsværd +4
25	Langsværd +5
26	Langsværd +6
27	Langsværd +7
28	Langsværd +8
29	Langsværd +9
30	Seglsværd +0
31	Seglsværd +1
32	Seglsværd +2
33	Seglsværd +3
34	Seglsværd +4
35	Seglsværd +5
36	Seglsværd +6
37	Seglsværd +7
38	Seglsværd +8
39	Seglsværd +9
40	Bambussværd +0
41	Bambussværd +1
42	Bambussværd +2
43	Bambussværd +3
44	Bambussværd +4
45	Bambussværd +5
46	Bambussværd +6
47	Bambussværd +7
48	Bambussværd +8
49	Bambussværd +9
50	Bredsværd +0
51	Bredsværd +1
52	Bredsværd +2
53	Bredsværd +3
54	Bredsværd +4
55	Bredsværd +5
56	Bredsværd +6
57	Bredsværd +7
58	Bredsværd +8
59	Bredsværd +9
60	Sølvsværd +0
61	Sølvsværd +1
62	Sølvsværd +2
63	Sølvsværd +3
64	Sølvsværd +4
65	Sølvsværd +5
66	Sølvsværd +6
67	Sølvsværd +7
68	Sølvsværd +8
69	Sølvsværd +9
70	Orkidesværd +0
71	Orkidesværd +1
72	Orkidesværd +2
73	Orkidesværd +3
74	Orkidesværd +4
75	Orkidesværd +5
76	Orkidesværd +6
77	Orkidesværd +7
78	Orkidesværd +8
79	Orkidesværd +9
80	Halvandenhåndssværd +0
81	Halvandenhåndssværd +1
82	Halvandenhåndssværd +2
83	Halvandenhåndssværd +3
84	Halvandenhåndssværd +4
85	Halvandenhåndssværd +5
86	Halvandenhåndssværd +6
87	Halvandenhåndssværd +7
88	Halvandenhåndssværd +8
89	Halvandenhåndssværd +9
90	Barbarsværd +0
91	Barbarsværd +1
92	Barbarsværd +2
93	Barbarsværd +3
94	Barbarsværd +4
95	Barbarsværd +5
96	Barbarsværd +6
97	Barbarsværd +7
98	Barbarsværd +8
99	Barbarsværd +9
100	Blodigt sværd +0
101	Blodigt sværd +1
102	Blodigt sværd +2
103	Blodigt sværd +3
104	Blodigt sværd +4
105	Blodigt sværd +5
106	Blodigt sværd +6
107	Blodigt sværd +7
108	Blodigt sværd +8
109	Blodigt sværd +9
110	Storsværd +0
111	Storsværd +1
112	Storsværd +2
113	Storsværd +3
114	Storsværd +4
115	Storsværd +5
116	Storsværd +6
117	Storsværd +7
118	Storsværd +8
119	Storsværd +9
120	Troldmandssværd +0
121	Troldmandssværd +1
122	Troldmandssværd +2
123	Troldmandssværd +3
124	Troldmandssværd +4
125	Troldmandssværd +5
126	Troldmandssværd +6
127	Troldmandssværd +7
128	Troldmandssværd +8
129	Troldmandssværd +9
130	Halvmånesværd +0
131	Halvmånesværd +1
132	Halvmånesværd +2
133	Halvmånesværd +3
134	Halvmånesværd +4
135	Halvmånesværd +5
136	Halvmånesværd +6
137	Halvmånesværd +7
138	Halvmånesværd +8
139	Halvmånesværd +9
140	Slagsværd +0
141	Slagsværd +1
142	Slagsværd +2
143	Slagsværd +3
144	Slagsværd +4
145	Slagsværd +5
146	Slagsværd +6
147	Slagsværd +7
148	Slagsværd +8
149	Slagsværd +9
150	Åndetandsblad +0
151	Åndetandsblad +1
152	Åndetandsblad +2
153	Åndetandsblad +3
154	Åndetandsblad +4
155	Åndetandsblad +5
156	Åndetandsblad +6
157	Åndetandsblad +7
158	Åndetandsblad +8
159	Åndetandsblad +9
