Vnum	LocalizedName
101	Chien errant
102	Loup
103	Loup alpha
104	Loup bleu
105	Loup alpha bleu
106	Loup gris
107	Loup alpha gris
108	Sanglier
109	Sanglier rouge
110	Ours
111	Grizzly
112	Ours noir
113	Ours brun
114	Tigre
115	Tigre blanc
131	Loup maudit
132	Loup alpha maudit
133	Loup bleu maudit
134	Loup alpha bleu maudit
135	Loup gris maudit
136	Loup alpha gris maudit
137	Sanglier sauvage maudit
138	Sanglier rouge maudit
139	Ours maudit
140	Grizzly maudit
141	Ours noir maudit
142	Ours brun maudit
143	Tigre maudit
144	Tigre blanc maudit
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Chien errant affamé
172	Loup affamé
173	Loup alpha affamé
174	Loup bleu affamé
175	Loup alpha bleu affamé
176	Loup gris affamé
177	Loup alpha gris affamé
178	Sanglier sauvage affamé
179	Sanglier rouge affamé
180	Ours affamé
181	Grizzly affamé
182	Ours noir affamé
183	Ours brun affamé
184	Tigre affamé
185	Tigre blanc affamé
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Soldat du Serment Blanc
302	Archer du Serment Blanc
303	Général du Serment Blanc
304	Cdt du Serment Blanc
331	Soldat du Serment Blanc
332	Archer du Serment Blanc
333	Général du Serment Blanc
334	Cdt du Serment Blanc
351	Sold du Serment craintif
352	Arc du Serment craintif
353	Gal du Serment craintif
354	Cdt du Serment craintif
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Mi-Jung Déprimée
396	Eun-Jung Déprimée
397	Se-Rang Déprimée
398	Jin-Hee déprimée
401	Soldat du Vent Noir
402	Maniac du Vent Noir
403	Archer du Vent Noir
404	Jak-To du Vent Noir
405	To-Su du Vent Noir
406	Gu-Ryung du Vent Noir
431	Soldat Tempête Noire
432	Maniac Tempête Noire
433	Archer Tempête Noire
434	Joh-Hwan Tempête Noire
435	Kyuk-Jang Tempête Noire
436	Pho-Hwan Tempête Noire
451	Soldat T.Noire du Mal
452	Maniac T.Noire du Mal
453	Archer T.Noire du Mal
454	Joh-Hwan T.Noire du Mal
455	Kyuk-Jang T.Noire du Mal
456	Pho-Hwang T.Noire du Mal
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Soldat Barbare
502	Minion Barbare
503	Archer Barbare
504	Général Barbare
531	Soldat bestial
532	Maniac bestial
533	Archer bestial
534	Spécialiste bestial
551	Fort Soldat Barbare
552	Fort Minion Barbare
553	Fort Archer Barbare
554	Fort Général Barbare
591	Capitaine bestial
595	Geum-Chul bestial
601	Orc
602	Eclaireur Orc
603	Combattant Orc
604	Sorcier Orc
631	Orc élite
632	Eclaireur Orc élite
633	Combattant Orc élite
634	Sorcier Orc élite
635	Général Orc élite
636	Orc noir
637	Orc noir Géant
651	Gros Orc intrépide
652	Gros Eclaireur Orc
653	Gros Combattant Orc
654	Gros sorcier Orc
655	Gros général Orc
656	Orc noir intrépide
657	Orc noir Géant intrépide
691	Chef Orc
692	Chef Orc élite
693	Chef Orc régéneré
701	Fanatique funeste
702	Arahan funeste
703	Combattant funeste
704	Chef arahan funeste
705	Exécuteur funeste
706	Bourreau funeste
707	Invocateur funeste
731	Fier fanatique funeste
732	Fier Arahan funeste
733	Fier combattant funeste
734	Fier chef funeste
735	Fier exécuteur funeste
736	Tourmenteur éso. élite
737	Invocateur Ésot. élite
751	Haut fanatique
752	Haut arahan
753	Combattant Haut arahan
754	Haut arahan élite
755	Haut juge
756	Haut Tourmenteur
757	Haut évocateur
771	Fanatic bestial
772	Arahan bestial
773	Combattant arahan best.
774	Chef arahan bestial
775	Juge bestial
776	Tourmenteur bestial
777	Evocateur bestial
791	Chef funeste
792	Chef esot. réincarné
793	Chef funeste d'élite
794	Chef esot. Réinc. élite
795	Combattant élite
796	Combattant ésot. élite
901	Ame d'un corps sans vie
902	Chien pestiféré
903	Pestiféré
904	Soldat pestiféré
905	Lancier pestiféré
906	Archer pestiféré
907	Chef pestiféré
931	Ame furieuse
932	Chien infecté enragé
933	Pestiféré furieux
934	Combattant pest. furieux
935	Lancier pest. furieux
936	Archer pestiféré furieux
937	Chef pestiféré furieux
991	Ouf infecté
992	Porteur pestiféré
993	Porteur géant pestiféré
1001	Soldat démoniaque
1002	Archer démon
1003	Lancier démoniaque
1004	Chamane démoniaque
1031	Vil Soldat démoniaque
1032	Vil Archer démoniaque
1033	Vil lancier démoniaque
1034	Vil Chamane démoniaque
1035	Esprit de rancune
1036	Esprit du Chaos
1037	Vil Chef démoniaque
1038	Maître à épée squelette
1039	Tête de mort volante
1040	Esprit éternel
1041	Bête démoniaque
1061	Vil Soldat démoniaque
1062	Vil Archer démoniaque
1063	Vil lancier démoniaque
1064	Vil Chamane démoniaque
1065	Vil Esprit de rancune
1066	Vil Esprit du Chaos
1067	Vil Chef démoniaque
1068	Maître à épée fantôme
1069	Vile Tête mort volante
1070	Esprit éternel
1071	Bête démoniaque
1091	Roi démon
1092	Roi démon élite
1093	Faucheuse
1094	Vil Roi démon élite
1095	Mort Bleue
1096	Áø»ç±Í¿Õ
1101	Glace enchantée
1102	Baleine de glace
1103	Insecte de glace
1104	Lion de glace
1105	Homme de glace furieux
