Vnum	LocalizedName
101	Vadkutya
102	Farkas
103	Alfa farkas
104	Kékfarkas
105	Alfa kékfarkas
106	Szürkefarkas
107	Alfa szürkefarkas
108	Vaddisznó
109	Vörös vaddisznó
110	Medve
111	Szürkemedve
112	Feketemedve
113	Barnamedve
114	Tigris
115	Fehér tigris
131	Átkozott farkas
132	Átkozott alfa farkas
133	Átkozott kékfarkas
134	Átkozott alfa kékfarkas
135	Átkozott szürkefarkas
136	Átk. alfa szürkefarkas
137	Átk. vaddisznó
138	Átk. vörös vaddisznó
139	Átkozott medve
140	Átkozott szürkemedve
141	Átkozott feketemedve
142	Átkozott barnamedve
143	Átkozott tigris
144	Átkozott fehér tigris
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Éhes vadkutya
172	Éhes farkas
173	Éhes alfa farkas
174	Éhes kékfarkas
175	Éhes alfa kékfarkas
176	Éhes szürkefarkas
177	Éhes alfa szürkefarkas
178	Éhes vaddisznó
179	Éhes vörös vaddisznó
180	Éhes medve
181	Éhes szürkemedve
182	Éhes feketemedve
183	Éhes barnamedve
184	Éhes tigris
185	Éhes fehér tigris
191	Lykos
192	Scrofa
193	Bera
194	Kagán
301	Fehér eskü katona
302	Fehér eskü íjász
303	Fehér eskü generális
304	Fehér eskü parancsnok
331	Fehér eskü katona
332	Fehér eskü íjász
333	Fehér eskü generális
334	Fehér eskü parancsnok
351	Gyáva fehér eskü katona
352	Gyáva fehér eskü íjász
353	Gyáva f. eskü generális
354	Gyáva f. eskü parancsnok
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Lelketlen Mi-Jung
396	Lelketlen Eun-Jung
397	Lelketlen Se-Rang
398	Lelketlen Jin-Hee
401	Feketeszél-katona
402	Feketeszél-mániákus
403	Feketeszél-íjász
404	Feketeszél-Jak-To
405	Feketeszél-To-Su
406	Feketeszél-Gu-Ryung
431	Fekete viharkatona
432	Fekete viharmániákus
433	Fekete viharíjász
434	Fekete vihar-Joh-Hwan
435	Fekete vihar-Kyuk-Jan
436	Fekete vihar-Pho-Hwan
451	Gonosz fek. viharkatona
452	Gon. fek. viharmániákus
453	Gonosz fek. viharíjász
454	Gonosz f. vihar-Joh-Hwan
455	Gon. f. vihar-Kyuk-Jang
456	Gon. f. vihar-Pho-Hwan
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Vad gyalogsági katona
502	Vad kegyenc
503	Vad íjász
504	Vad generális
531	Brutális katona
532	Brutális kegyenc
533	Brutális íjász
534	Brutális specialista
551	Erõs vad gyalogos
552	Erõs vad kegyenc
553	Erõs vad íjász
554	Erõs vad generális
591	Brutális kapitány
595	Brutális Geum-Chul
601	Ork
602	Ork felderítõ
603	Ork harcos
604	Ork varázsló
631	Büszke ork
632	Büszke ork kém
633	Büszke ork harcos
634	Büszke ork varázsló
635	Büszke ork generális
636	Fekete ork
637	Fekete ork óriás
651	Bátor nagy ork
652	Bátor nagy ork kém
653	Bátor nagy ork harcos
654	Bátor nagy ork varázsló
655	Bátor nagy ork generális
656	Bátor fekete ork
657	Bátor fekete ork óriás
691	Fõork
692	Sötét fõork
693	Szellem orkvezér
701	Sötét Fanatikus
702	Sötét Arahan
703	Sötét harcos
704	Sötét Arahan vezér
705	Sötét hóhér
706	Sötét Kínzó
707	Sötét Idézõ
731	Büszke sötét fanatikus
732	Büszke sötét Arahan
733	Büszke sötét harcos
734	Büszke sötét ezredes
735	Büszke sötét vadász
736	Büszke sötét kínzó
737	Büszke sötét idézõ
751	Magas fanatikus
752	Magas Arahan
753	Magas Arahan harcos
754	Magas fõ-Arahan
755	Magas hóhér
756	Magas kínzó
757	Magas ördögûzõ
771	Brutális fanatikus
772	Brutális Arahan
773	Brutális Arahan harcos
774	Brutális fõ-Arahan
775	Brutális hóhér
776	Brutális kínzó
777	Brutális ördögûzõ
791	Sötét vezetõ
792	Sötét szellem-vezetõ
793	Elit sötét vezetõ
794	Elit szellem-vezetõ
795	Elit harcos
796	Elit sötét harcos
901	Hulla-szellem
902	Fertõzött kutya
903	Fertõzött ember
904	Fertõzött kardharcos
905	Fertõzött lándzsás
906	Fertõzött íjász
907	Fertõzött vezér
931	Dühös hulla-szellem
932	Dühös fertõzött kutya
933	Dühös fertõzött ember
934	Dühös fertõzött harcos
935	Dühös fertõzött lándzsás
936	Dühös fertõzött íjász
937	Dühös fertõzött vezér
991	Fertõzött tojás
992	Pestishordozó
993	Óriási pestishordozó
1001	Démon harcos
1002	Démon íjász
1003	Démon lándzsaharcos
1004	Démon sámán
1031	Gonosz katona
1032	Gonosz íjász
1033	Gonosz lándzsás
1034	Gonosz sámán
1035	Gyûlölet lelke
1036	Káosz lelke
1037	Gonosz démon vezér
1038	Koponya Kardmester
1039	Repülõ Koponya
1040	Halhatatlan lélek
1041	Démoni állat
1061	Kegyetlen szellemkatona
1062	Kegyetlen szellem-íjász
1063	Kegy. szellem-lándzsás
1064	Kegyetlen szellem-sámán
1065	Gyûlölet kegy. szelleme
1066	Káosz kegyetlen szelleme
1067	Vezér kegyetlen szelleme
1068	Szellem Kardmester
1069	Gonosz Repülõ Koponya
1070	Halhatatlan lélek
1071	Démoni állat
1091	Démon király
1092	Büszke démon király
1093	Kaszás
1094	Gonosz démon király
1095	Kék halál
1096	Áø»ç±Í¿Õ
1101	Elvarázsolt Jég
1102	Jég Gyilkos Bálna
1103	Jég Rovar
1104	Jég Oroszlán
1105	Fagyos Jégember
1106	Jeti
1107	Jég Gólem
1108	Jég gólem
1131	Alvilági Jég Szilánkok
1132	Alvilági JégGyilkosBálna
1133	Alvilági Jég Rovar
1134	Alvilági Jég Oroszlán
1135	Alvilági Jégember
1136	Alvilági Jeti
1137	Alvilági Jég Gólem
1138	Alvilági jég gólem
1151	Jég ördög
1152	Jégfogú gyilkos bálna
1153	Jég rovar
1154	Seol-Gu
1155	Jég ember
1156	Jég óriás
1157	Jég gólem
1171	Gonosz elvarázsolt jég
1172	Gonosz jég gyilkos bálna
1173	Gonosz jég rovar
1174	Gonosz jég oroszlán
1175	Gonosz jég ember
1176	Gonosz jeti
1177	Gonosz jég gólem
1191	Jég boszorkány
1192	Nagy jég boszorkány
1301	Fabéka katona
1302	Fabéka vezér
1303	Kísértet
1304	Sárga tigris szellem
1305	Kecskebéka generális
1306	Gonosz sárga tigris szel
1307	Gonosz sárga tigris szel
1308	Gonosz sárga tigris szel
1309	Gonosz sárga tigris szel
1310	Gonosz sárga tigris szel
1331	Nagy fabéka katona
1332	Nagy fabéka vezér
1333	Nagy kísértet
1334	Nagy sárga tigris szelle
1335	Nagy kecskebéka generáli
1336	Kecskebéka generális
1401	Romboló
1402	Baltás harcos
1403	Ezerharcos
1501	Kõ gólem
1502	Kõ-óriás
1503	Óriás szikla gólem
1601	Ogre harcos
1602	Ogre mészáros
1603	Rettenthetetlen ork
1901	Kilencfarkú
1902	Elit kilencfarkú
1903	Elit kilencfarkú
1904	Elit Kilencfarkú
1905	Elit Kilencfarkú
1906	Elit Kilencfarkú
2001	Bébi pók
2002	Mérgespók
2003	Vörös mérgespók
2004	Ollós pók
2005	Katona pók
2031	Bébi mérgespók
2032	Halálos mérgespók
2033	Vörös halálos mérgespók
2034	Ollós mérgespók
2035	Katona mérgespók
2036	Büszke katona mérgespók
2037	Katona mérgespók
2051	Gonosz bébi mérgespók
2052	Gon. halálos mérgespók
2053	Gonosz vörös mérgespók
2054	Gonosz ollós mérgespók
2055	Gon. katona mérgespók
2061	Kicsi mérgespók
2062	Halálos mérgespók
2063	Vörös halálos mérgespók
2064	Ollós mérgespók
2065	Katona mérgespók
2071	Brutális bébi mérgespók
2072	Brutális halál.mérgespók
2073	Brut. vörös mérgespók
2074	Brut. ollós mérgespók
2075	Brutális katona pók
2076	Brut. erõs mérgespók
2091	Pók-királynõ
2092	Pók-bárónõ
2093	Sötét pók-királynõ
2094	Pók-báró
2095	Póktojás
2101	Sivatagi róka
2102	Sivatagi repülõ szem
2103	Skorpiókirály
2104	Fiatal Skorpióember
2105	Skorpió íjász
2106	Kígyó kardharcos
2107	Kígyó íjász
2108	Sivatagi bandita
2131	Bestia Skorpióember
2132	Skorpió íjász
2133	Kígyó kardharcos
2134	Kígyó íjász
2135	Sivatagi bandita
2151	Erõs sivatagi róka
2152	Erõs dervis
2153	Erõs skorpiókirály
2154	Erõs skorpióember
2155	Erõs skorpió íjász
2156	Erõs kígyó kardharcos
2157	Erõs kígyó íjász
2158	Erõs sivatagi bandita
2191	Nagy sivatagi teknõsbéka
2192	Sötét sivatagi teknõs
2201	Harci tigris szolga
2202	Lángszellem
2203	Harci tigris
2204	Láng
2205	Lángharcos
2206	Lángkirály
2207	Sötét lángkirály
2231	Erõs harci tigris szolga
2232	Erõs láng lélek
2233	Erõs harci tigris
2234	Erõs láng
2235	Erõs láng harcos
2291	Vörös sárkány
2301	Szellemfa
2302	Szellemtuskó
2303	Tündér
2304	Szellemfûz
2305	Gonosz fa
2306	Óriási szellemfa
