Vnum	LocaleName
1	Yang
2	Nederlandse Versie
10	Zwaard+0
11	Zwaard+1
12	Zwaard+2
13	Zwaard+3
14	Zwaard+4
15	Zwaard+5
16	Zwaard+6
17	Zwaard+7
18	Zwaard+8
19	Zwaard+9
20	Langzwaard+0
21	Langzwaard+1
22	Langzwaard+2
23	Langzwaard+3
24	Langzwaard+4
25	Langzwaard+5
26	Langzwaard+6
27	Langzwaard+7
28	Langzwaard+8
29	Langzwaard+9
30	Sikkelzwaard+0
31	Sikkelzwaard+1
32	Sikkelzwaard+2
33	Sikkelzwaard+3
34	Sikkelzwaard+4
35	Sikkelzwaard+5
36	Sikkelzwaard+6
37	Sikkelzwaard+7
38	Sikkelzwaard+8
39	Sikkelzwaard+9
40	Bamboezwaard+0
41	Bamboezwaard+1
42	Bamboezwaard+2
43	Bamboezwaard+3
44	Bamboezwaard+4
45	Bamboezwaard+5
46	Bamboezwaard+6
47	Bamboezwaard+7
48	Bamboezwaard+8
49	Bamboezwaard+9
50	Breed Zwaard+0
51	Breed Zwaard+1
52	Breed Zwaard+2
53	Breed Zwaard+3
54	Breed Zwaard+4
55	Breed Zwaard+5
56	Breed Zwaard+6
57	Breed Zwaard+7
58	Breed Zwaard+8
59	Breed Zwaard+9
60	Zilveren Zwaard+0
61	Zilveren Zwaard+1
62	Zilveren Zwaard+2
63	Zilveren Zwaard+3
64	Zilveren Zwaard+4
65	Zilveren Zwaard+5
66	Zilveren Zwaard+6
67	Zilveren Zwaard+7
68	Zilveren Zwaard+8
69	Zilveren Zwaard+9
70	Orchidee Zwaard+0
71	Orchidee Zwaard+1
72	Orchidee Zwaard+2
73	Orchidee Zwaard+3
74	Orchidee Zwaard+4
75	Orchidee Zwaard+5
76	Orchidee Zwaard+6
77	Orchidee Zwaard+7
78	Orchidee Zwaard+8
79	Orchidee Zwaard+9
80	Bastaard Zwaard+0
81	Bastaard Zwaard+1
82	Bastaard Zwaard+2
83	Bastaard Zwaard+3
84	Bastaard Zwaard+4
85	Bastaard Zwaard+5
86	Bastaard Zwaard+6
87	Bastaard Zwaard+7
88	Bastaard Zwaard+8
89	Bastaard Zwaard+9
90	Barbaren Zwaard+0
91	Barbaren Zwaard+1
92	Barbaren Zwaard+2
93	Barbaren Zwaard+3
94	Barbaren Zwaard+4
95	Barbaren Zwaard+5
96	Barbaren Zwaard+6
97	Barbaren Zwaard+7
98	Barbaren Zwaard+8
99	Barbaren Zwaard+9
100	Bloedige Zwaard+0
101	Bloedige Zwaard+1
102	Bloedige Zwaard+2
103	Bloedige Zwaard+3
104	Bloedige Zwaard+4
105	Bloedige Zwaard+5
106	Bloedige Zwaard+6
107	Bloedige Zwaard+7
108	Bloedige Zwaard+8
109	Bloedige Zwaard+9
110	Grote Zwaard+0
111	Grote Zwaard+1
112	Grote Zwaard+2
113	Grote Zwaard+3
114	Grote Zwaard+4
115	Grote Zwaard+5
116	Grote Zwaard+6
117	Grote Zwaard+7
118	Grote Zwaard+8
119	Grote Zwaard+9
120	Tovenaarszwaard+0
121	Tovenaarszwaard+1
122	Tovenaarszwaard+2
123	Tovenaarszwaard+3
124	Tovenaarszwaard+4
125	Tovenaarszwaard+5
126	Tovenaarszwaard+6
127	Tovenaarszwaard+7
128	Tovenaarszwaard+8
129	Tovenaarszwaard+9
130	Halvemaan Zwaard+0
131	Halvemaan Zwaard+1
132	Halvemaan Zwaard+2
133	Halvemaan Zwaard+3
134	Halvemaan Zwaard+4
135	Halvemaan Zwaard+5
136	Halvemaan Zwaard+6
137	Halvemaan Zwaard+7
138	Halvemaan Zwaard+8
139	Halvemaan Zwaard+9
140	Strijd Zwaard+0
141	Strijd Zwaard+1
142	Strijd Zwaard+2
143	Strijd Zwaard+3
144	Strijd Zwaard+4
145	Strijd Zwaard+5
146	Strijd Zwaard+6
147	Strijd Zwaard+7
148	Strijd Zwaard+8
149	Strijd Zwaard+9
150	Geest Tand Mes+0
151	Geest Tand Mes+1
152	Geest Tand Mes+2
153	Geest Tand Mes+3
154	Geest Tand Mes+4
155	Geest Tand Mes+5
156	Geest Tand Mes+6
157	Geest Tand Mes+7
158	Geest Tand Mes+8
159	Geest Tand Mes+9
160	Nimfenzwaard+0
161	Nimfenzwaard+1
162	Nimfenzwaard+2
163	Nimfenzwaard+3
164	Nimfenzwaard+4
165	Nimfenzwaard+5
166	Nimfenzwaard+6
167	Nimfenzwaard+7
168	Nimfenzwaard+8
169	Nimfenzwaard+9
170	Steek Zwaard+0
171	Steek Zwaard+1
172	Steek Zwaard+2
173	Steek Zwaard+3
174	Steek Zwaard+4
175	Steek Zwaard+5
