Vnum	LocaleName
1	Yang
2	Polska wersja
10	Miecz+0
11	Miecz+1
12	Miecz+2
13	Miecz+3
14	Miecz+4
15	Miecz+5
16	Miecz+6
17	Miecz+7
18	Miecz+8
19	Miecz+9
20	D³ugi Miecz+0
21	D³ugi Miecz+1
22	D³ugi Miecz+2
23	D³ugi Miecz+3
24	D³ugi Miecz+4
25	D³ugi Miecz+5
26	D³ugi Miecz+6
27	D³ugi Miecz+7
28	D³ugi Miecz+8
29	D³ugi Miecz+9
30	Sejmitar+0
31	Sejmitar+1
32	Sejmitar+2
33	Sejmitar+3
34	Sejmitar+4
35	Sejmitar+5
36	Sejmitar+6
37	Sejmitar+7
38	Sejmitar+8
39	Sejmitar+9
40	Sto¿kowy Miecz+0
41	Sto¿kowy Miecz+1
42	Sto¿kowy Miecz+2
43	Sto¿kowy Miecz+3
44	Sto¿kowy Miecz+4
45	Sto¿kowy Miecz+5
46	Sto¿kowy Miecz+6
47	Sto¿kowy Miecz+7
48	Sto¿kowy Miecz+8
49	Sto¿kowy Miecz+9
50	Szeroki Miecz+0
51	Szeroki Miecz+1
52	Szeroki Miecz+2
53	Szeroki Miecz+3
54	Szeroki Miecz+4
55	Szeroki Miecz+5
56	Szeroki Miecz+6
57	Szeroki Miecz+7
58	Szeroki Miecz+8
59	Szeroki Miecz+9
60	Srebrny Miecz+0
61	Srebrny Miecz+1
62	Srebrny Miecz+2
63	Srebrny Miecz+3
64	Srebrny Miecz+4
65	Srebrny Miecz+5
66	Srebrny Miecz+6
67	Srebrny Miecz+7
68	Srebrny Miecz+8
69	Srebrny Miecz+9
70	Miecz Storczykowy+0
71	Miecz Storczykowy+1
72	Miecz Storczykowy+2
73	Miecz Storczykowy+3
74	Miecz Storczykowy+4
75	Miecz Storczykowy+5
76	Miecz Storczykowy+6
77	Miecz Storczykowy+7
78	Miecz Storczykowy+8
79	Miecz Storczykowy+9
80	Miecz Pó³torarêczny+0
81	Miecz Pó³torarêczny+1
82	Miecz Pó³torarêczny+2
83	Miecz Pó³torarêczny+3
84	Miecz Pó³torarêczny+4
85	Miecz Pó³torarêczny+5
86	Miecz Pó³torarêczny+6
87	Miecz Pó³torarêczny+7
88	Miecz Pó³torarêczny+8
89	Miecz Pó³torarêczny+9
90	Miecz Barbarzyñcy+0
91	Miecz Barbarzyñcy+1
92	Miecz Barbarzyñcy+2
93	Miecz Barbarzyñcy+3
94	Miecz Barbarzyñcy+4
95	Miecz Barbarzyñcy+5
96	Miecz Barbarzyñcy+6
97	Miecz Barbarzyñcy+7
98	Miecz Barbarzyñcy+8
99	Miecz Barbarzyñcy+9
100	Krwawy Miecz+0
101	Krwawy Miecz+1
102	Krwawy Miecz+2
103	Krwawy Miecz+3
104	Krwawy Miecz+4
105	Krwawy Miecz+5
106	Krwawy Miecz+6
107	Krwawy Miecz+7
108	Krwawy Miecz+8
109	Krwawy Miecz+9
110	Wielki Miecz+0
111	Wielki Miecz+1
112	Wielki Miecz+2
113	Wielki Miecz+3
114	Wielki Miecz+4
115	Wielki Miecz+5
116	Wielki Miecz+6
117	Wielki Miecz+7
118	Wielki Miecz+8
119	Wielki Miecz+9
120	Miecz Lat. Maga+0
121	Miecz Lat. Maga+1
122	Miecz Lat. Maga+2
123	Miecz Lat. Maga+3
124	Miecz Lat. Maga+4
125	Miecz Lat. Maga+5
126	Miecz Lat. Maga+6
127	Miecz Lat. Maga+7
128	Miecz Lat. Maga+8
129	Miecz Lat. Maga+9
130	Pó³-ksiê¿ycowy Miecz+0
131	Pó³-ksiê¿ycowy Miecz+1
132	Pó³-ksiê¿ycowy Miecz+2
133	Pó³-ksiê¿ycowy Miecz+3
134	Pó³-ksiê¿ycowy Miecz+4
135	Pó³-ksiê¿ycowy Miecz+5
136	Pó³-ksiê¿ycowy Miecz+6
137	Pó³-ksiê¿ycowy Miecz+7
138	Pó³-ksiê¿ycowy Miecz+8
139	Pó³-ksiê¿ycowy Miecz+9
140	Miecz Bojowy+0
141	Miecz Bojowy+1
142	Miecz Bojowy+2
143	Miecz Bojowy+3
144	Miecz Bojowy+4
145	Miecz Bojowy+5
146	Miecz Bojowy+6
147	Miecz Bojowy+7
148	Miecz Bojowy+8
149	Miecz Bojowy+9
150	Miecz Szponu Ducha+0
151	Miecz Szponu Ducha+1
152	Miecz Szponu Ducha+2
153	Miecz Szponu Ducha+3
154	Miecz Szponu Ducha+4
155	Miecz Szponu Ducha+5
156	Miecz Szponu Ducha+6
157	Miecz Szponu Ducha+7
158	Miecz Szponu Ducha+8
159	Miecz Szponu Ducha+9
160	Miecz Nimfy+0
161	Miecz Nimfy+1
162	Miecz Nimfy+2
163	Miecz Nimfy+3
164	Miecz Nimfy+4
165	Miecz Nimfy+5
166	Miecz Nimfy+6
167	Miecz Nimfy+7
168	Miecz Nimfy+8
169	Miecz Nimfy+9
170	Miecz ¯¹d³o+0
171	Miecz ¯¹d³o+1
172	Miecz ¯¹d³o+2
173	Miecz ¯¹d³o+3
174	Miecz ¯¹d³o+4
175	Miecz ¯¹d³o+5
176	Miecz ¯¹d³o+6
177	Miecz ¯¹d³o+7
178	Miecz ¯¹d³o+8
179	Miecz ¯¹d³o+9
180	Zatruty miecz+0
181	Zatruty miecz+1
182	Zatruty miecz+2
183	Zatruty miecz+3
184	Zatruty miecz+4
185	Zatruty miecz+5
186	Zatruty miecz+6
187	Zatruty miecz+7
188	Zatruty miecz+8
189	Zatruty miecz+9
190	Lwi Miecz+0
191	Lwi Miecz+1
192	Lwi Miecz+2
193	Lwi Miecz+3
194	Lwi Miecz+4
195	Lwi Miecz+5
196	Lwi Miecz+6
197	Lwi Miecz+7
198	Lwi Miecz+8
199	Lwi Miecz+9
200	Brzegowe Ostrze+0
201	Brzegowe Ostrze+1
202	Brzegowe Ostrze+2
203	Brzegowe Ostrze+3
204	Brzegowe Ostrze+4
205	Brzegowe Ostrze+5
206	Brzegowe Ostrze+6
207	Brzegowe Ostrze+7
208	Brzegowe Ostrze+8
209	Brzegowe Ostrze+9
210	Œmiercionoœne Ostrze+0
211	Œmiercionoœne Ostrze+1
212	Œmiercionoœne Ostrze+2
213	Œmiercionoœne Ostrze+3
214	Œmiercionoœne Ostrze+4
215	Œmiercionoœne Ostrze+5
216	Œmiercionoœne Ostrze+6
217	Œmiercionoœne Ostrze+7
218	Œmiercionoœne Ostrze+8
219	Œmiercionoœne Ostrze+9
220	Ksiê¿ycowy Miecz+0
221	Ksiê¿ycowy Miecz+1
222	Ksiê¿ycowy Miecz+2
223	Ksiê¿ycowy Miecz+3
224	Ksiê¿ycowy Miecz+4
225	Ksiê¿ycowy Miecz+5
226	Ksiê¿ycowy Miecz+6
227	Ksiê¿ycowy Miecz+7
228	Ksiê¿ycowy Miecz+8
229	Ksiê¿ycowy Miecz+9
230	Niebiañski Miecz+0
231	Niebiañski Miecz+1
232	Niebiañski Miecz+2
233	Niebiañski Miecz+3
234	Niebiañski Miecz+4
235	Niebiañski Miecz+5
236	Niebiañski Miecz+6
237	Niebiañski Miecz+7
238	Niebiañski Miecz+8
239	Niebiañski Miecz+9
240	Miecz Egzorcysty+0
241	Miecz Egzorcysty+1
242	Miecz Egzorcysty+2
243	Miecz Egzorcysty+3
244	Miecz Egzorcysty+4
245	Miecz Egzorcysty+5
246	Miecz Egzorcysty+6
247	Miecz Egzorcysty+7
248	Miecz Egzorcysty+8
249	Miecz Egzorcysty+9
250	Demoniczne Ostrze+0
251	Demoniczne Ostrze+1
252	Demoniczne Ostrze+2
253	Demoniczne Ostrze+3
254	Demoniczne Ostrze+4
255	Demoniczne Ostrze+5
256	Demoniczne Ostrze+6
257	Demoniczne Ostrze+7
258	Demoniczne Ostrze+8
259	Demoniczne Ostrze+9
260	Miecz Barona+0
261	Miecz Barona+1
262	Miecz Barona+2
263	Miecz Barona+3
264	Miecz Barona+4
265	Miecz Barona+5
266	Miecz Barona+6
267	Miecz Barona+7
268	Miecz Barona+8
269	Miecz Barona+9
270	Miecz Trytona+0
271	Miecz Trytona+1
272	Miecz Trytona+2
273	Miecz Trytona+3
274	Miecz Trytona+4
275	Miecz Trytona+5
276	Miecz Trytona+6
277	Miecz Trytona+7
278	Miecz Trytona+8
279	Miecz Trytona+9
280	Œwiêty Miecz+0
281	Œwiêty Miecz+1
282	Œwiêty Miecz+2
283	Œwiêty Miecz+3
284	Œwiêty Miecz+4
285	Œwiêty Miecz+5
286	Œwiêty Miecz+6
287	Œwiêty Miecz+7
288	Œwiêty Miecz+8
289	Œwiêty Miecz+9
290	Miecz Pe³ni Ksiê¿yca+0
291	Miecz Pe³ni Ksiê¿yca+1
292	Miecz Pe³ni Ksiê¿yca+2
293	Miecz Pe³ni Ksiê¿yca+3
294	Miecz Pe³ni Ksiê¿yca+4
295	Miecz Pe³ni Ksiê¿yca+5
296	Miecz Pe³ni Ksiê¿yca+6
297	Miecz Pe³ni Ksiê¿yca+7
298	Miecz Pe³ni Ksiê¿yca+8
299	Miecz Pe³ni Ksiê¿yca+9
300	Ostrze Zodiaku+0
301	Ostrze Zodiaku+1
302	Ostrze Zodiaku+2
303	Ostrze Zodiaku+3
304	Ostrze Zodiaku+4
305	Ostrze Zodiaku+5
306	Ostrze Zodiaku+6
307	Ostrze Zodiaku+7
308	Ostrze Zodiaku+8
309	Ostrze Zodiaku+9
310	Miecz Zodiaku+0
311	Miecz Zodiaku+1
312	Miecz Zodiaku+2
313	Miecz Zodiaku+3
314	Miecz Zodiaku+4
315	Miecz Zodiaku+5
316	Miecz Zodiaku+6
317	Miecz Zodiaku+7
318	Miecz Zodiaku+8
319	Miecz Zodiaku+9
320	Miecz Smoka Mroku+0
321	Miecz Smoka Mroku+1
322	Miecz Smoka Mroku+2
323	Miecz Smoka Mroku+3
324	Miecz Smoka Mroku+4
325	Miecz Smoka Mroku+5
326	Miecz Smoka Mroku+6
327	Miecz Smoka Mroku+7
328	Miecz Smoka Mroku+8
329	Miecz Smoka Mroku+9
330	Miecz Smoka Mroku+10
331	Miecz Smoka Mroku+11
332	Miecz Smoka Mroku+12
333	Miecz Smoka Mroku+13
334	Miecz Smoka Mroku+14
335	Miecz Smoka Mroku+15
340	Brzeszczot Smoka Mrok+0
341	Brzeszczot Smoka Mrok+1
342	Brzeszczot Smoka Mrok+2
343	Brzeszczot Smoka Mrok+3
344	Brzeszczot Smoka Mrok+4
345	Brzeszczot Smoka Mrok+5
346	Brzeszczot Smoka Mrok+6
347	Brzeszczot Smoka Mrok+7
348	Brzeszczot Smoka Mrok+8
349	Brzeszczot Smoka Mrok+9
350	Brzeszczot Smoka Mrok+10
351	Brzeszczot Smoka Mrok+11
352	Brzeszczot Smoka Mrok+12
353	Brzeszczot Smoka Mrok+13
354	Brzeszczot Smoka Mrok+14
355	Brzeszczot Smoka Mrok+15
360	Miecz Wê¿owy+0
361	Miecz Wê¿owy+1
362	Miecz Wê¿owy+2
363	Miecz Wê¿owy+3
364	Miecz Wê¿owy+4
365	Miecz Wê¿owy+5
366	Miecz Wê¿owy+6
367	Miecz Wê¿owy+7
368	Miecz Wê¿owy+8
369	Miecz Wê¿owy+9
370	Miecz Wê¿owy+10
371	Miecz Wê¿owy+11
372	Miecz Wê¿owy+12
373	Miecz Wê¿owy+13
374	Miecz Wê¿owy+14
375	Miecz Wê¿owy+15
376	Miecz Wê¿owy (wykon.)
380	Ostrze Wê¿owe+0
381	Ostrze Wê¿owe+1
382	Ostrze Wê¿owe+2
383	Ostrze Wê¿owe+3
384	Ostrze Wê¿owe+4
385	Ostrze Wê¿owe+5
386	Ostrze Wê¿owe+6
387	Ostrze Wê¿owe+7
388	Ostrze Wê¿owe+8
389	Ostrze Wê¿owe+9
390	Ostrze Wê¿owe+10
391	Ostrze Wê¿owe+11
392	Ostrze Wê¿owe+12
393	Ostrze Wê¿owe+13
394	Ostrze Wê¿owe+14
395	Ostrze Wê¿owe+15
396	Ostrze Wê¿owe (wykon.)
460	Runiczny Miecz+0
461	Runiczny Miecz+1
462	Runiczny Miecz+2
463	Runiczny Miecz+3
464	Runiczny Miecz+4
465	Runiczny Miecz+5
466	Runiczny Miecz+6
467	Runiczny Miecz+7
468	Runiczny Miecz+8
469	Runiczny Miecz+9
470	Klinga Smoczego K³a+0
471	Klinga Smoczego K³a+1
472	Klinga Smoczego K³a+2
473	Klinga Smoczego K³a+3
474	Klinga Smoczego K³a+4
475	Klinga Smoczego K³a+5
476	Klinga Smoczego K³a+6
477	Klinga Smoczego K³a+7
478	Klinga Smoczego K³a+8
479	Klinga Smoczego K³a+9
500	Cyjanitowy Miecz+0
501	Cyjanitowy Miecz+1
502	Cyjanitowy Miecz+2
503	Cyjanitowy Miecz+3
504	Cyjanitowy Miecz+4
505	Cyjanitowy Miecz+5
506	Cyjanitowy Miecz+6
507	Cyjanitowy Miecz+7
508	Cyjanitowy Miecz+8
509	Cyjanitowy Miecz+9
1000	Sztylet+0
1001	Sztylet+1
1002	Sztylet+2
1003	Sztylet+3
1004	Sztylet+4
1005	Sztylet+5
1006	Sztylet+6
1007	Sztylet+7
1008	Sztylet+8
1009	Sztylet+9
1010	Sztylet Kobry+0
1011	Sztylet Kobry+1
