Vnum	LocalizedName
101	Cão Selvagem
102	Lobo
103	Lobo Alfa
104	Lobo Azul
105	Lobo Alfa Azul
106	Lobo Cinza
107	Lobo Alfa Cinza
108	Javali Selvagem
109	Javali Selvagem Rubro
110	Urso
111	Urso Cinza
112	Urso Negro
113	Urso Castanho
114	Tigre
115	Tigre Branco
131	Lobo Maldito
132	Lobo Alfa Maldito
133	Lobo Azul Maldito
134	Lobo Alfa Azul Maldito
135	Lobo Cinzento Maldito
136	Lobo Alfa Cinza Maldito
137	Javali Maldito
138	Javali Rubro Maldito
139	Urso Maldito
140	Urso Cinza Maldito
141	Urso Negro Maldito
142	Urso Castanho Maldito
143	Tigre Maldito
144	Tigre Branco Maldito
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Cão Selvagem Feroz
172	Lobo Feroz
173	Lobo Alfa Feroz
174	Lobo Azul Feroz
175	Lobo Alfa Azul Feroz
176	Lobo Cinza Feroz
177	Lobo Alfa Cinza Feroz
178	Javali Selvagem Feroz
179	Javali Vermelho Feroz
180	Urso Feroz
181	Urso Cinza Feroz
182	Urso Negro Feroz
183	Urso Castanho Feroz
184	Tigre Feroz
185	Tigre Branco Feroz
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Soldado Jura de Cristal
302	Arqueira Jura de Cristal
303	General Jura de Cristal
304	Capitã Jura de Cristal
331	Soldado Jura de Jade
332	Arqueira Jura de Jade
333	General Jura de Jade
334	Capitã Jura de Jade
351	Soldado Jura de Rubi
352	Arqueira Jura de Rubi
353	General Jura de Rubi
354	Capitã Jura de Rubi
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Mi-Jung Sem Alma
396	Eun-Jung Sem Alma
397	Se-Rang Sem Alma
398	Jin-Hee Sem Alma
401	Soldado Vento Negro
402	Maníaco Vento Negro
403	Arqueiro Vento Negro
404	Jak-To Vento Negro
405	To-Su Vento Negro
406	Gu-Ryung Vento Negro
431	Soldado Tempestade Negra
432	Maníaco Tempestade Negra
433	Arqueiro Trovão
434	Joh-Hwan Trovão
435	Kyuk-Jang Trovão
436	Pho-Hwan Trovão
451	Soldado Trovão Mau
452	Maníaco Trovão Mau
453	Arqueiro Trovão Mau
454	Joh-Hwan Trovão Mau
455	Kyuk-Jang Trovão Mau
456	Pho-Hwan Trovão Mau
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Infantaria Selvagem
502	Sarrafeiro Selvagem
503	Arqueiro Selvagem
504	General Selvagem
531	Soldado Veneno
532	Maníaco Veneno
533	Arqueiro Veneno
534	Especialista Veneno
551	Infantaria Selvagem Mau
552	Sarrafeiro Selvagem Mau
553	Arqueiro Selvagem Mau
554	General Selvagem Mau
591	Capitão Veneno
595	Geum-Chul Veneno
601	Orc
602	Orc Explorador
603	Orc Lutador
604	Orc Mago
631	Orc Elite
632	Orc Explorador Elite
633	Orc Lutador Elite
634	Orc Mago Elite
635	Orc General Elite
636	Orc Preto
637	Orc Preto Gigante
651	Orc Mau Corajoso
652	Orc Explorador Corajoso
653	Orc Lutador Mau Corajoso
654	Orc Mago Mau Corajoso
655	Orc General Mau Corajoso
656	Orc Preto Corajoso
657	Orc Preto Mau Corajoso
691	Chefe Orc
692	Chefe Orc Elite
693	Chefe Orc Renascido
701	Fanático Negro
702	Arahan Negro
703	Lutador Arahan Esotérico
704	Chefe Arahan Esotérico
705	Executor Esotérico
706	Atormentador Negro
707	Conjurador Negro
731	Fanático Negro Elite
732	Arahan Negro Elite
733	Lutador Negro Elite
734	Coronel Negro Elite
735	Executor Negro Elite
736	Atormentador Negro Elite
737	Conjurador Negro Elite
751	Grande Fanático
752	Grande Arahan
753	Grande Lutador Arahan
754	Grande Arahan Elite
755	Grande Executor
756	Grande Atormentador
757	Grande Conjurador
771	Fanático Veneno
772	Arahan Veneno
773	Lutador Arahan Veneno
774	Chefe Arahan Veneno
775	Executor Veneno
776	Atormentador Veneno
777	Conjurador Veneno
791	Líder Negro
792	Lider Fantasma Negro
793	Líder Negro Elite
794	Líder Fantasma Negro Mau
795	Lutador Elite
796	Lutador Esotérico Elite
901	Cadáver Fantasma
902	Cão Infestado
903	Homem Infestado
904	Espadachim Infestado
905	Lanceiro Infestado
906	Arqueiro Infestado
907	Líder Infestado
931	Cadáver Fantasma Bravo
932	Cão Infestado Bravo
933	Homem Infestado Bravo
934	Lutador Infestado Bravo
935	Lanceiro Infestado Bravo
936	Arqueiro Infestado Bravo
937	Líder Infestado Bravo
991	Ovo Infestado
992	Portador de Praga
993	Portador de Praga Grande
1001	Soldado Demónio
1002	Arqueiro Demónio
1003	Demónio Lanceiro
1004	Demónio Xamã
1031	Soldado Demónio Vil
1032	Arqueiro Demónio Vil
1033	Demónio Lanceiro Vil
1034	Demónio Xamã Vil
1035	Fantasma de Rancor
1036	Fantasma do Caos
1037	Líder Demónio Vil
1038	Caveira Mestre Espada
1039	Caveira Voadora
1040	Fantasma Imortal
