Vnum	LocaleName
1	Yang
2	Versiune în limba Româna
10	Sabie+0
11	Sabie+1
12	Sabie+2
13	Sabie+3
14	Sabie+4
15	Sabie+5
16	Sabie+6
17	Sabie+7
18	Sabie+8
19	Sabie+9
20	Sabie lungă+0
21	Sabie lungă+1
22	Sabie lungă+2
23	Sabie lungă+3
24	Sabie lungă+4
25	Sabie lungă+5
26	Sabie lungă+6
27	Sabie lungă+7
28	Sabie lungă+8
29	Sabie lungă+9
30	Iatagan+0
31	Iatagan+1
32	Iatagan+2
33	Iatagan+3
34	Iatagan+4
35	Iatagan+5
36	Iatagan+6
37	Iatagan+7
38	Iatagan+8
39	Iatagan+9
40	Sabie bambus+0
41	Sabie bambus+1
42	Sabie bambus+2
43	Sabie bambus+3
44	Sabie bambus+4
45	Sabie bambus+5
46	Sabie bambus+6
47	Sabie bambus+7
48	Sabie bambus+8
49	Sabie bambus+9
50	Sabie lată+0
51	Sabie lată+1
52	Sabie lată+2
53	Sabie lată+3
54	Sabie lată+4
55	Sabie lată+5
56	Sabie lată+6
57	Sabie lată+7
58	Sabie lată+8
59	Sabie lată+9
60	Sabie de argint+0
61	Sabie de argint+1
62	Sabie de argint+2
63	Sabie de argint+3
64	Sabie de argint+4
65	Sabie de argint+5
66	Sabie de argint+6
67	Sabie de argint+7
68	Sabie de argint+8
69	Sabie de argint+9
70	Sabie orhidee+0
71	Sabie orhidee+1
72	Sabie orhidee+2
73	Sabie orhidee+3
74	Sabie orhidee+4
75	Sabie orhidee+5
76	Sabie orhidee+6
77	Sabie orhidee+7
78	Sabie orhidee+8
79	Sabie orhidee+9
80	Sabie bastard+0
81	Sabie bastard+1
82	Sabie bastard+2
83	Sabie bastard+3
84	Sabie bastard+4
85	Sabie bastard+5
86	Sabie bastard+6
87	Sabie bastard+7
88	Sabie bastard+8
89	Sabie bastard+9
90	Sabie barbar+0
91	Sabie barbar+1
92	Sabie barbar+2
93	Sabie barbar+3
94	Sabie barbar+4
95	Sabie barbar+5
96	Sabie barbar+6
97	Sabie barbar+7
98	Sabie barbar+8
99	Sabie barbar+9
100	Sabie sângeroasă+0
101	Sabie sângeroasă+1
102	Sabie sângeroasă+2
103	Sabie sângeroasă+3
104	Sabie sângeroasă+4
105	Sabie sângeroasă+5
106	Sabie sângeroasă+6
107	Sabie sângeroasă+7
108	Sabie sângeroasă+8
109	Sabie sângeroasă+9
110	Sabie mare+0
111	Sabie mare+1
112	Sabie mare+2
113	Sabie mare+3
114	Sabie mare+4
115	Sabie mare+5
116	Sabie mare+6
117	Sabie mare+7
118	Sabie mare+8
119	Sabie mare+9
120	Sabie vrăjitor+0
121	Sabie vrăjitor+1
122	Sabie vrăjitor+2
123	Sabie vrăjitor+3
124	Sabie vrăjitor+4
125	Sabie vrăjitor+5
126	Sabie vrăjitor+6
127	Sabie vrăjitor+7
128	Sabie vrăjitor+8
129	Sabie vrăjitor+9
130	Sabie semilună+0
131	Sabie semilună+1
132	Sabie semilună+2
133	Sabie semilună+3
134	Sabie semilună+4
135	Sabie semilună+5
136	Sabie semilună+6
137	Sabie semilună+7
138	Sabie semilună+8
139	Sabie semilună+9
140	Sabie de bătălie+0
141	Sabie de bătălie+1
142	Sabie de bătălie+2
143	Sabie de bătălie+3
144	Sabie de bătălie+4
145	Sabie de bătălie+5
146	Sabie de bătălie+6
147	Sabie de bătălie+7
148	Sabie de bătălie+8
149	Sabie de bătălie+9
150	Lama Dintele Stafiei+0
151	Lama Dintele Stafiei+1
152	Lama Dintele Stafiei+2
153	Lama Dintele Stafiei+3
154	Lama Dintele Stafiei+4
155	Lama Dintele Stafiei+5
156	Lama Dintele Stafiei+6
157	Lama Dintele Stafiei+7
158	Lama Dintele Stafiei+8
159	Lama Dintele Stafiei+9
160	Sabie nimfă+0
161	Sabie nimfă+1
162	Sabie nimfă+2
163	Sabie nimfă+3
164	Sabie nimfă+4
165	Sabie nimfă+5
166	Sabie nimfă+6
167	Sabie nimfă+7
168	Sabie nimfă+8
169	Sabie nimfă+9
170	Spadă+0
171	Spadă+1
172	Spadă+2
173	Spadă+3
174	Spadă+4
175	Spadă+5
176	Spadă+6
177	Spadă+7
178	Spadă+8
179	Spadă+9
180	Sabie otrăvită+0
181	Sabie otrăvită+1
182	Sabie otrăvită+2
183	Sabie otrăvită+3
184	Sabie otrăvită+4
185	Sabie otrăvită+5
186	Sabie otrăvită+6
187	Sabie otrăvită+7
188	Sabie otrăvită+8
189	Sabie otrăvită+9
190	Sabie leu+0
191	Sabie leu+1
192	Sabie leu+2
193	Sabie leu+3
194	Sabie leu+4
195	Sabie leu+5
196	Sabie leu+6
197	Sabie leu+7
198	Sabie leu+8
199	Sabie leu+9
200	Lamă+0
201	Lamă+1
202	Lamă+2
203	Lamă+3
204	Lamă+4
205	Lamă+5
206	Lamă+6
207	Lamă+7
208	Lamă+8
209	Lamă+9
210	Lama Mortala+0
211	Lama Mortala+1
212	Lama Mortala+2
213	Lama Mortala+3
214	Lama Mortala+4
215	Lama Mortala+5
216	Lama Mortala+6
217	Lama Mortala+7
218	Lama Mortala+8
219	Lama Mortala+9
220	Sabie lună+0
221	Sabie lună+1
222	Sabie lună+2
223	Sabie lună+3
224	Sabie lună+4
225	Sabie lună+5
226	Sabie lună+6
227	Sabie lună+7
228	Sabie lună+8
229	Sabie lună+9
230	Sabie cer+0
231	Sabie cer+1
232	Sabie cer+2
233	Sabie cer+3
234	Sabie cer+4
235	Sabie cer+5
236	Sabie cer+6
237	Sabie cer+7
238	Sabie cer+8
239	Sabie cer+9
240	Sabie exorcism+0
