Vnum	LocaleName
1	Yang
2	Versão Portuguesa
10	Espada+0
11	Espada+1
12	Espada+2
13	Espada+3
14	Espada+4
15	Espada+5
16	Espada+6
17	Espada+7
18	Espada+8
19	Espada+9
20	Espada Longa+0
21	Espada Longa+1
22	Espada Longa+2
23	Espada Longa+3
24	Espada Longa+4
25	Espada Longa+5
26	Espada Longa+6
27	Espada Longa+7
28	Espada Longa+8
29	Espada Longa+9
30	Espada Crescente+0
31	Espada Crescente+1
32	Espada Crescente+2
33	Espada Crescente+3
34	Espada Crescente+4
35	Espada Crescente+5
36	Espada Crescente+6
37	Espada Crescente+7
38	Espada Crescente+8
39	Espada Crescente+9
40	Espada de Bambu+0
41	Espada de Bambu+1
42	Espada de Bambu+2
43	Espada de Bambu+3
44	Espada de Bambu+4
45	Espada de Bambu+5
46	Espada de Bambu+6
47	Espada de Bambu+7
48	Espada de Bambu+8
49	Espada de Bambu+9
50	Espada Larga+0
51	Espada Larga+1
52	Espada Larga+2
53	Espada Larga+3
54	Espada Larga+4
55	Espada Larga+5
56	Espada Larga+6
57	Espada Larga+7
58	Espada Larga+8
59	Espada Larga+9
60	Espada de Prata+0
61	Espada de Prata+1
62	Espada de Prata+2
63	Espada de Prata+3
64	Espada de Prata+4
65	Espada de Prata+5
66	Espada de Prata+6
67	Espada de Prata+7
68	Espada de Prata+8
69	Espada de Prata+9
70	Espada Orquídea+0
71	Espada Orquídea+1
72	Espada Orquídea+2
73	Espada Orquídea+3
74	Espada Orquídea+4
75	Espada Orquídea+5
76	Espada Orquídea+6
77	Espada Orquídea+7
78	Espada Orquídea+8
79	Espada Orquídea+9
80	Espada Bastarda+0
81	Espada Bastarda+1
82	Espada Bastarda+2
83	Espada Bastarda+3
84	Espada Bastarda+4
85	Espada Bastarda+5
86	Espada Bastarda+6
87	Espada Bastarda+7
88	Espada Bastarda+8
89	Espada Bastarda+9
90	Espada Bárbara+0
91	Espada Bárbara+1
92	Espada Bárbara+2
93	Espada Bárbara+3
94	Espada Bárbara+4
95	Espada Bárbara+5
96	Espada Bárbara+6
97	Espada Bárbara+7
98	Espada Bárbara+8
99	Espada Bárbara+9
100	Espada Sangrenta+0
101	Espada Sangrenta+1
102	Espada Sangrenta+2
103	Espada Sangrenta+3
104	Espada Sangrenta+4
105	Espada Sangrenta+5
106	Espada Sangrenta+6
107	Espada Sangrenta+7
108	Espada Sangrenta+8
109	Espada Sangrenta+9
110	Espada Grandiosa+0
111	Espada Grandiosa+1
112	Espada Grandiosa+2
113	Espada Grandiosa+3
114	Espada Grandiosa+4
115	Espada Grandiosa+5
116	Espada Grandiosa+6
117	Espada Grandiosa+7
118	Espada Grandiosa+8
119	Espada Grandiosa+9
120	Espada do Mago+0
121	Espada do Mago+1
122	Espada do Mago+2
123	Espada do Mago+3
124	Espada do Mago+4
125	Espada do Mago+5
126	Espada do Mago+6
127	Espada do Mago+7
128	Espada do Mago+8
129	Espada do Mago+9
130	Espada Meia Lua+0
131	Espada Meia Lua+1
132	Espada Meia Lua+2
133	Espada Meia Lua+3
134	Espada Meia Lua+4
135	Espada Meia Lua+5
136	Espada Meia Lua+6
137	Espada Meia Lua+7
138	Espada Meia Lua+8
139	Espada Meia Lua+9
140	Espada de Batalha+0
141	Espada de Batalha+1
142	Espada de Batalha+2
143	Espada de Batalha+3
144	Espada de Batalha+4
145	Espada de Batalha+5
146	Espada de Batalha+6
147	Espada de Batalha+7
148	Espada de Batalha+8
149	Espada de Batalha+9
150	Lâmina Zanna Fantasma+0
151	Lâmina Zanna Fantasma+1
152	Lâmina Zanna Fantasma+2
153	Lâmina Zanna Fantasma+3
154	Lâmina Zanna Fantasma+4
155	Lâmina Zanna Fantasma+5
156	Lâmina Zanna Fantasma+6
157	Lâmina Zanna Fantasma+7
158	Lâmina Zanna Fantasma+8
159	Lâmina Zanna Fantasma+9
160	Espada Ninfa+0
161	Espada Ninfa+1
162	Espada Ninfa+2
163	Espada Ninfa+3
164	Espada Ninfa+4
165	Espada Ninfa+5
166	Espada Ninfa+6
167	Espada Ninfa+7
168	Espada Ninfa+8
169	Espada Ninfa+9
170	Espada Ferrão+0
171	Espada Ferrão+1
172	Espada Ferrão+2
173	Espada Ferrão+3
174	Espada Ferrão+4
175	Espada Ferrão+5
176	Espada Ferrão+6
177	Espada Ferrão+7
178	Espada Ferrão+8
179	Espada Ferrão+9
180	Espada Venenosa+0
181	Espada Venenosa+1
182	Espada Venenosa+2
183	Espada Venenosa+3
184	Espada Venenosa+4
185	Espada Venenosa+5
186	Espada Venenosa+6
187	Espada Venenosa+7
188	Espada Venenosa+8
189	Espada Venenosa+9
190	Espada Leão+0
191	Espada Leão+1
192	Espada Leão+2
193	Espada Leão+3
194	Espada Leão+4
195	Espada Leão+5
196	Espada Leão+6
197	Espada Leão+7
198	Espada Leão+8
199	Espada Leão+9
200	Lâmina Cortante+0
201	Lâmina Cortante+1
202	Lâmina Cortante+2
203	Lâmina Cortante+3
204	Lâmina Cortante+4
205	Lâmina Cortante+5
206	Lâmina Cortante+6
207	Lâmina Cortante+7
208	Lâmina Cortante+8
209	Lâmina Cortante+9
210	Lâmina Mortal+0
211	Lâmina Mortal+1
212	Lâmina Mortal+2
213	Lâmina Mortal+3
214	Lâmina Mortal+4
215	Lâmina Mortal+5
216	Lâmina Mortal+6
217	Lâmina Mortal+7
218	Lâmina Mortal+8
219	Lâmina Mortal+9
220	Espada Lunar+0
221	Espada Lunar+1
222	Espada Lunar+2
223	Espada Lunar+3
