Vnum	LocaleName
1	Yang
2	Versiune în limba Româna
10	Sabie+0
11	Sabie+1
12	Sabie+2
13	Sabie+3
14	Sabie+4
15	Sabie+5
16	Sabie+6
17	Sabie+7
18	Sabie+8
19	Sabie+9
20	Sabie lungã+0
21	Sabie lungã+1
22	Sabie lungã+2
23	Sabie lungã+3
24	Sabie lungã+4
25	Sabie lungã+5
26	Sabie lungã+6
27	Sabie lungã+7
28	Sabie lungã+8
29	Sabie lungã+9
30	Iatagan+0
31	Iatagan+1
32	Iatagan+2
33	Iatagan+3
34	Iatagan+4
35	Iatagan+5
36	Iatagan+6
37	Iatagan+7
38	Iatagan+8
39	Iatagan+9
40	Sabie bambus+0
41	Sabie bambus+1
42	Sabie bambus+2
43	Sabie bambus+3
44	Sabie bambus+4
45	Sabie bambus+5
46	Sabie bambus+6
47	Sabie bambus+7
48	Sabie bambus+8
49	Sabie bambus+9
50	Sabie latã+0
51	Sabie latã+1
52	Sabie latã+2
53	Sabie latã+3
54	Sabie latã+4
55	Sabie latã+5
56	Sabie latã+6
57	Sabie latã+7
58	Sabie latã+8
59	Sabie latã+9
60	Sabie de argint+0
61	Sabie de argint+1
62	Sabie de argint+2
63	Sabie de argint+3
64	Sabie de argint+4
65	Sabie de argint+5
66	Sabie de argint+6
67	Sabie de argint+7
68	Sabie de argint+8
69	Sabie de argint+9
70	Sabie orhidee+0
71	Sabie orhidee+1
72	Sabie orhidee+2
73	Sabie orhidee+3
74	Sabie orhidee+4
75	Sabie orhidee+5
76	Sabie orhidee+6
77	Sabie orhidee+7
78	Sabie orhidee+8
79	Sabie orhidee+9
80	Sabie bastard+0
81	Sabie bastard+1
82	Sabie bastard+2
83	Sabie bastard+3
84	Sabie bastard+4
85	Sabie bastard+5
86	Sabie bastard+6
87	Sabie bastard+7
88	Sabie bastard+8
89	Sabie bastard+9
90	Sabie barbar+0
91	Sabie barbar+1
92	Sabie barbar+2
93	Sabie barbar+3
94	Sabie barbar+4
95	Sabie barbar+5
96	Sabie barbar+6
97	Sabie barbar+7
98	Sabie barbar+8
99	Sabie barbar+9
100	Sabie sângeroasã+0
101	Sabie sângeroasã+1
102	Sabie sângeroasã+2
103	Sabie sângeroasã+3
104	Sabie sângeroasã+4
105	Sabie sângeroasã+5
106	Sabie sângeroasã+6
107	Sabie sângeroasã+7
108	Sabie sângeroasã+8
109	Sabie sângeroasã+9
110	Sabie mare+0
111	Sabie mare+1
112	Sabie mare+2
113	Sabie mare+3
114	Sabie mare+4
115	Sabie mare+5
116	Sabie mare+6
117	Sabie mare+7
118	Sabie mare+8
119	Sabie mare+9
120	Sabie vrãjitor+0
121	Sabie vrãjitor+1
122	Sabie vrãjitor+2
123	Sabie vrãjitor+3
124	Sabie vrãjitor+4
125	Sabie vrãjitor+5
126	Sabie vrãjitor+6
127	Sabie vrãjitor+7
128	Sabie vrãjitor+8
129	Sabie vrãjitor+9
130	Sabie semilunã+0
131	Sabie semilunã+1
132	Sabie semilunã+2
133	Sabie semilunã+3
134	Sabie semilunã+4
135	Sabie semilunã+5
136	Sabie semilunã+6
137	Sabie semilunã+7
138	Sabie semilunã+8
139	Sabie semilunã+9
140	Sabie de bãtãlie+0
141	Sabie de bãtãlie+1
142	Sabie de bãtãlie+2
143	Sabie de bãtãlie+3
144	Sabie de bãtãlie+4
145	Sabie de bãtãlie+5
146	Sabie de bãtãlie+6
147	Sabie de bãtãlie+7
148	Sabie de bãtãlie+8
149	Sabie de bãtãlie+9
150	Lama Dintele Stafiei+0
151	Lama Dintele Stafiei+1
152	Lama Dintele Stafiei+2
153	Lama Dintele Stafiei+3
154	Lama Dintele Stafiei+4
155	Lama Dintele Stafiei+5
156	Lama Dintele Stafiei+6
157	Lama Dintele Stafiei+7
158	Lama Dintele Stafiei+8
159	Lama Dintele Stafiei+9
160	Sabie nimfã+0
161	Sabie nimfã+1
162	Sabie nimfã+2
163	Sabie nimfã+3
164	Sabie nimfã+4
165	Sabie nimfã+5
166	Sabie nimfã+6
167	Sabie nimfã+7
168	Sabie nimfã+8
169	Sabie nimfã+9
170	Spadã+0
171	Spadã+1
172	Spadã+2
173	Spadã+3
174	Spadã+4
175	Spadã+5
176	Spadã+6
177	Spadã+7
178	Spadã+8
179	Spadã+9
180	Sabie otrãvitã+0
181	Sabie otrãvitã+1
182	Sabie otrãvitã+2
183	Sabie otrãvitã+3
184	Sabie otrãvitã+4
185	Sabie otrãvitã+5
186	Sabie otrãvitã+6
187	Sabie otrãvitã+7
188	Sabie otrãvitã+8
189	Sabie otrãvitã+9
190	Sabie leu+0
191	Sabie leu+1
192	Sabie leu+2
193	Sabie leu+3
194	Sabie leu+4
195	Sabie leu+5
196	Sabie leu+6
197	Sabie leu+7
198	Sabie leu+8
199	Sabie leu+9
200	Lamã+0
201	Lamã+1
202	Lamã+2
203	Lamã+3
204	Lamã+4
205	Lamã+5
206	Lamã+6
207	Lamã+7
208	Lamã+8
209	Lamã+9
210	Lama Mortala+0
211	Lama Mortala+1
212	Lama Mortala+2
213	Lama Mortala+3
214	Lama Mortala+4
215	Lama Mortala+5
216	Lama Mortala+6
217	Lama Mortala+7
218	Lama Mortala+8
219	Lama Mortala+9
220	Sabie lunã+0
221	Sabie lunã+1
222	Sabie lunã+2
223	Sabie lunã+3
224	Sabie lunã+4
225	Sabie lunã+5
226	Sabie lunã+6
227	Sabie lunã+7
228	Sabie lunã+8
229	Sabie lunã+9
230	Sabie cer+0
231	Sabie cer+1
232	Sabie cer+2
233	Sabie cer+3
234	Sabie cer+4
235	Sabie cer+5
236	Sabie cer+6
