Vnum	LocalizedName
101	Câine sălbatic
102	Lup
103	Lup Alpha
104	Lup Albastru
105	Lup Alpha Albastru
106	Lup Gri
107	Lup Alpha Gri
108	Mistreț Sălbatic
109	Mistreț Sălbatic Roșu
110	Urs
111	Urs Grizzly
112	Urs Negru
113	Urs Brun
114	Tigru
115	Tigru Alb
131	Lup Blestemat
132	Lup Blestemat Alpha
133	Lup Blestemat Albastru
134	Lup Alpha Albastru Blest
135	Lup Blestemat Gri
136	Lup Blest Alpha Gri
137	Mistreț Blestemat
138	Mistreț Blestemat Roșu
139	Urs Blestemat
140	Urs Blestemat Grizzly
141	Urs Blestemat Negru
142	Urs Blestemat Brun
143	Tigru Blestemat
144	Tigru Blestemat Alb
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Câine sălbatic flămând
172	Lup Flamand
173	Lup Flamand Alpha
174	Lup Flamand Albastru
175	Lup Flamand Alpha Albast
176	Lup Flamand Gri
177	Lup Flamand Alpha Gri
178	Mistreț Flămând
179	Mistreț Flămând Roșu
180	Urs Flamand
181	Urs Flămând Grizzly
182	Urs Flamand Negru
183	Urs Flamand Brun
184	Tigru Flamand
185	Tigru Flamand Alb
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Amazoană Soldat
302	Arcaș Amazoană
303	Amazoană General
304	Amazoană Comandant
331	Amazoană Soldat
332	Amazoană Arcaș
333	Amazoană General
334	Amazoană Comandant
351	Amazoană Soldat Lașă
352	Amazoană Arcaș Lașă
353	Amazoană General Lașă
354	Amazoană Comandant Lașă
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Tristul de Mi-Jung
396	Tristul de Eun-Jung
397	Tristul Se-Rang
398	Tristul Jin-Hee
401	Soldat vânt negru
402	Posedat de vânt negru
403	Arcaș vânt negru
404	vânt negru Jak-To
405	vânt negru To-Su
406	vânt negru Gu-Ryung
431	Soldat de atac negru
432	Posedat de atac negru
433	Arcaș negru
434	Joh-Hwan de atac negru
435	Kyuk-Jan de atac negru
436	Pho-Hwan de atac negru
451	Soldat de atac negru rău
452	Posedat de atac rău
453	Arcaș de atac rău
454	Joh-Hwan de atac rău
455	Kyuk-Jang de atac rău
456	Pho-Hwan de atac rău
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Infanterist Salbatic
502	Salbatic Devotat
503	Arcaș sălbatic
504	General Salbatic
531	Soldat brutal
532	Posedat brutal
533	Arcaș brutal
534	Specialist brutal
551	Infanterist Salbatic Dur
552	Locotenent Salbatic Dur
