Vnum	LocaleName
1	янг
2	Английская версия
10	Меч+0
11	Меч+1
12	Меч+2
13	Меч+3
14	Меч+4
15	Меч+5
16	Меч+6
17	Меч+7
18	Меч+8
19	Меч+9
20	Длинный меч+0
21	Длинный меч+1
22	Длинный меч+2
23	Длинный меч+3
24	Длинный меч+4
25	Длинный меч+5
26	Длинный меч+6
27	Длинный меч+7
28	Длинный меч+8
29	Длинный меч+9
30	Меч-серп+0
31	Меч-серп+1
32	Меч-серп+2
33	Меч-серп+3
34	Меч-серп+4
35	Меч-серп+5
36	Меч-серп+6
37	Меч-серп+7
38	Меч-серп+8
39	Меч-серп+9
40	Бамбуковый меч+0
41	Бамбуковый меч+1
42	Бамбуковый меч+2
43	Бамбуковый меч+3
44	Бамбуковый меч+4
45	Бамбуковый меч+5
46	Бамбуковый меч+6
47	Бамбуковый меч+7
48	Бамбуковый меч+8
49	Бамбуковый меч+9
50	Широкий меч+0
51	Широкий меч+1
52	Широкий меч+2
53	Широкий меч+3
54	Широкий меч+4
55	Широкий меч+5
56	Широкий меч+6
57	Широкий меч+7
58	Широкий меч+8
59	Широкий меч+9
60	Серебряный меч+0
61	Серебряный меч+1
62	Серебряный меч+2
63	Серебряный меч+3
64	Серебряный меч+4
65	Серебряный меч+5
66	Серебряный меч+6
67	Серебряный меч+7
68	Серебряный меч+8
69	Серебряный меч+9
70	Меч орхидеи+0
71	Меч орхидеи+1
72	Меч орхидеи+2
73	Меч орхидеи+3
74	Меч орхидеи+4
75	Меч орхидеи+5
76	Меч орхидеи+6
77	Меч орхидеи+7
78	Меч орхидеи+8
79	Меч орхидеи+9
80	Полтораручный меч+0
81	Полтораручный меч+1
82	Полтораручный меч+2
83	Полтораручный меч+3
84	Полтораручный меч+4
85	Полтораручный меч+5
86	Полтораручный меч+6
87	Полтораручный меч+7
88	Полтораручный меч+8
89	Полтораручный меч+9
90	Меч варвара+0
91	Меч варвара+1
92	Меч варвара+2
93	Меч варвара+3
94	Меч варвара+4
95	Меч варвара+5
96	Меч варвара+6
97	Меч варвара+7
98	Меч варвара+8
99	Меч варвара+9
100	Кровавый меч+0
101	Кровавый меч+1
102	Кровавый меч+2
103	Кровавый меч+3
104	Кровавый меч+4
105	Кровавый меч+5
106	Кровавый меч+6
107	Кровавый меч+7
108	Кровавый меч+8
109	Кровавый меч+9
110	Большой меч+0
111	Большой меч+1
112	Большой меч+2
113	Большой меч+3
114	Большой меч+4
115	Большой меч+5
116	Большой меч+6
117	Большой меч+7
118	Большой меч+8
119	Большой меч+9
120	Меч заклинателя+0
121	Меч заклинателя+1
122	Меч заклинателя+2
123	Меч заклинателя+3
124	Меч заклинателя+4
125	Меч заклинателя+5
126	Меч заклинателя+6
127	Меч заклинателя+7
128	Меч заклинателя+8
129	Меч заклинателя+9
130	Меч-полумесяц+0
131	Меч-полумесяц+1
132	Меч-полумесяц+2
133	Меч-полумесяц+3
134	Меч-полумесяц+4
135	Меч-полумесяц+5
136	Меч-полумесяц+6
137	Меч-полумесяц+7
138	Меч-полумесяц+8
139	Меч-полумесяц+9
140	Боевой меч+0
141	Боевой меч+1
142	Боевой меч+2
143	Боевой меч+3
144	Боевой меч+4
145	Боевой меч+5
146	Боевой меч+6
147	Боевой меч+7
148	Боевой меч+8
149	Боевой меч+9
150	Зубчатый клинок духов+0
151	Зубчатый клинок духов+1
152	Зубчатый клинок духов+2
153	Зубчатый клинок духов+3
154	Зубчатый клинок духов+4
155	Зубчатый клинок духов+5
156	Зубчатый клинок духов+6
157	Зубчатый клинок духов+7
158	Зубчатый клинок духов+8
159	Зубчатый клинок духов+9
160	Меч нимфы+0
161	Меч нимфы+1
162	Меч нимфы+2
163	Меч нимфы+3
164	Меч нимфы+4
165	Меч нимфы+5
166	Меч нимфы+6
167	Меч нимфы+7
168	Меч нимфы+8
169	Меч нимфы+9
170	Колющий меч+0
171	Колющий меч+1
172	Колющий меч+2
173	Колющий меч+3
174	Колющий меч+4
175	Колющий меч+5
176	Колющий меч+6
177	Колющий меч+7
178	Колющий меч+8
179	Колющий меч+9
180	Ядовитый меч+0
181	Ядовитый меч+1
182	Ядовитый меч+2
183	Ядовитый меч+3
184	Ядовитый меч+4
185	Ядовитый меч+5
186	Ядовитый меч+6
187	Ядовитый меч+7
188	Ядовитый меч+8
189	Ядовитый меч+9
190	Меч льва+0
191	Меч льва+1
192	Меч льва+2
193	Меч льва+3
194	Меч льва+4
195	Меч льва+5
196	Меч льва+6
197	Меч льва+7
198	Меч льва+8
199	Меч льва+9
200	Режущий клинок+0
201	Режущий клинок+1
202	Режущий клинок+2
203	Режущий клинок+3
204	Режущий клинок+4
205	Режущий клинок+5
206	Режущий клинок+6
207	Режущий клинок+7
208	Режущий клинок+8
209	Режущий клинок+9
210	Смертоносный клинок+0
211	Смертоносный клинок+1
212	Смертоносный клинок+2
213	Смертоносный клинок+3
214	Смертоносный клинок+4
215	Смертоносный клинок+5
216	Смертоносный клинок+6
217	Смертоносный клинок+7
218	Смертоносный клинок+8
219	Смертоносный клинок+9
220	Лунный меч+0
221	Лунный меч+1
222	Лунный меч+2
223	Лунный меч+3
224	Лунный меч+4
225	Лунный меч+5
226	Лунный меч+6
227	Лунный меч+7
228	Лунный меч+8
229	Лунный меч+9
230	Небесный меч+0
231	Небесный меч+1
232	Небесный меч+2
233	Небесный меч+3
234	Небесный меч+4
235	Небесный меч+5
236	Небесный меч+6
237	Небесный меч+7
238	Небесный меч+8
239	Небесный меч+9
240	Меч экзерцизма+0
241	Меч экзерцизма+1
242	Меч экзерцизма+2
243	Меч экзерцизма+3
244	Меч экзерцизма+4
245	Меч экзерцизма+5
246	Меч экзерцизма+6
247	Меч экзерцизма+7
248	Меч экзерцизма+8
249	Меч экзерцизма+9
250	Клинок демона+0
251	Клинок демона+1
252	Клинок демона+2
253	Клинок демона+3
254	Клинок демона+4
255	Клинок демона+5
256	Клинок демона+6
257	Клинок демона+7
258	Клинок демона+8
259	Клинок демона+9
260	Меч барона+0
261	Меч барона+1
262	Меч барона+2
263	Меч барона+3
264	Меч барона+4
265	Меч барона+5
266	Меч барона+6
267	Меч барона+7
268	Меч барона+8
269	Меч барона+9
270	Меч Тритона+0
271	Меч Тритона+1
272	Меч Тритона+2
273	Меч Тритона+3
274	Меч Тритона+4
275	Меч Тритона+5
276	Меч Тритона+6
277	Меч Тритона+7
278	Меч Тритона+8
279	Меч Тритона+9
280	Священный меч+0
281	Священный меч+1
282	Священный меч+2
283	Священный меч+3
284	Священный меч+4
285	Священный меч+5
286	Священный меч+6
287	Священный меч+7
288	Священный меч+8
289	Священный меч+9
290	Меч полнолуния+0
291	Меч полнолуния+1
292	Меч полнолуния+2
293	Меч полнолуния+3
294	Меч полнолуния+4
295	Меч полнолуния+5
296	Меч полнолуния+6
297	Меч полнолуния+7
298	Меч полнолуния+8
299	Меч полнолуния+9
300	Клинок зодиака+0
301	Клинок зодиака+1
302	Клинок зодиака+2
303	Клинок зодиака+3
304	Клинок зодиака+4
305	Клинок зодиака+5
306	Клинок зодиака+6
307	Клинок зодиака+7
308	Клинок зодиака+8
309	Клинок зодиака+9
310	Меч зодиака+0
