Vnum	LocalizedName
101	Дикий пес
102	Волк
103	Волк Альфа
104	Голубой волк
105	Голубой волк альфа
106	Серый волк
107	Серый волк альфа
108	Кабан
109	Красный кабан
110	Медведь
111	Гризли
112	Барибал
113	Бурый медведь
114	Тигр
115	Белый тигр
131	Поганый волк
132	Поганый волк альфа
133	Поганый голубой волк
134	Поганый.гол. волк альфа
135	Поганый серый волк
136	Поганый серый волк альфа
137	Поганый кабан
138	Поганый красный кабан
139	Поганый медведь
140	Поганый гризли
141	Поганый барибал
142	Поганый бурый медведь
143	Поганый тигр
144	Проклят. белый тигр
151	Ганг Мок
152	Му-Ранг
153	Джуг-Хул
154	Янг-Джи
155	Ли-Ан
171	Голодный дикий пес
172	Голодный волк
173	Голодный волк альфа
174	Голодный голубой волк
175	Голодн. голуб.волк альфа
176	Голодный серый волк
177	Голодн.серый волк альфа
178	Голодный кабан
179	Голодн.красный кабан
180	Голодный медведь
181	Голодный гризли
182	Голодный барибал
183	Голодн. бурый медведь
184	Голодный тигр
185	Белый голодный тигр
191	Лукос
192	Скрофа
193	Бера
194	Тигр
301	Солдатка Белой Клятвы
302	Лучница Белой Клятвы
303	Генеральша Белой Клятвы
304	Комендантша Белой Клятвы
331	Солдатка Белой Клятвы
332	Лучница Белой Клятвы
333	Генеральша Белой Клятвы
334	Комендантша Белой Клятвы
351	Оробел.солдат Бел.Клятвы
352	Оробелый лучн.бел.клятвы
353	Оробел.генерал б.клятвы
354	Ороб.комендант б.клятвы
391	Ми-Юнг
392	Ойн-Юнг
393	Зе-Ранг
394	Джинь-Хи
395	Унылый Ми-Юнг
396	Унылая Еюн-Юнг
397	Унылая Се-Ранг
398	Унылая Чин-Хи
401	Солдат Мрачного Ветра
402	Маньяк Мрачного Ветра
403	Лучник Мрачного Ветра
404	Як-То Мрачного Ветра
405	То-Зу Мрачного Ветра
406	Гу-Райнг Мрачного Ветра
431	Солдат Мрачной Бури
432	Маньяк Мрачной Бури
433	Лучник Мрачной Бури
434	Джох-Хван-Мрачной Бури
435	Каюк Джан Мрачной Бури
436	Фо-Хван Мрачн. Бури
451	Злобный солдат Мрач.Бури
452	Злобный маньяк Мрач.Бури
453	Злобный лучник Мрач.Бури
454	Джох-Хван Злобной Бури
455	Каюк-Джан Злобной Бури
456	Пхо-Хван Злобной Бури
491	Махон
492	Бо
493	Го-Пае
494	Хуонг
501	Одичавший пехотинец
502	Одичавший пленник
503	Одичавший лучник
504	Одичавший генерал
531	Жестокий солдат
532	Жестокий маньяк
533	Жестокий лучник
534	Жестокий эксперт
551	Опытн.одичавш.пехотинец
552	Опытн.одичавш.пленник
553	Опытн.одичавш.лучник
554	Опытн.одичавш.генерал
591	Жестокий главарь
595	Жестокий Гойм-Хул
601	Орк
602	Дозорный орк
603	Орк-воин
604	Орк-волшебник
631	Спесивый орк
632	Спесивый дозорный орк
633	Спесивый орк-воин
634	Спесивый орк-волшебник
635	Спесивый генерал орков
636	Мрачный орк
637	Мрачный орк-громила
651	Смелый орк
652	Смелый дозорный орк
653	Смелый орк-воин
654	Смелый орк-волшебник
655	Смелый генерал орков
656	Смелый мрачный орк
657	Смел.мрачный орк-громила
691	Старший Орк
692	Мрачный старшина орк
693	Призрачн.главарь орков
701	Мрачный фанатик
702	Мрачный Арахан
703	Мрачный воин
704	Мрачный старшина Арахан
705	Мрачный палач
706	Мрачный каратель
707	Мрачный вестник смерти
731	Спесивый мрачн.фанатик
732	Спесивый мрачн.Арахан
733	Спесивый мрачный воин
734	Спесивый мрачн.полковник
735	Спесивый мрачн.стрелок
736	Спесивый мрачн.каратель
737	Спесивый мрач.волшебник
751	Верховный фанатик
752	Верховный Арахан
753	Верховный воин Арахан
754	Верховн.старшина Арахан
755	Верховный палач
756	Верховный каратель
757	Верховный вестник смерти
771	Жестокий фанатик
772	Жестокий Арахан
773	Жестокий воин Арахан
774	Жестокий старшина Арахан
775	Жестокий палач
776	Жестокий каратель
777	Жестокий вестник смерти
791	Мрачный главарь
792	Мрачный призрачн.главарь
793	Элитный мрачный главарь
794	Элитный призрачн.главарь
795	Элитный воин
796	Элитный мрачный воин
901	Дух покинутого тела
902	Чумной пес
903	Чумной человек
904	Чумной меченосец
905	Чумной копьеносец
906	Чумной лучник
907	Чумной вожак
931	Яростн.дух покинут.тела
932	Яростный чумной пес
933	Яр. чумн. человек
934	Яр. чумн. человек
935	Ярост.чумной копьеносец
936	Яростный чумной лучник
937	Яростный чумной вожак
991	Чума
992	Возбудитель Чумы
993	Громада-возбудитель Чумы
1001	Солдат Демона
1002	Лучник Демона
1003	Копьеносец Демона
1004	Шаман Демона
1031	Гнусный солдат
1032	Гнусный лучник
1033	Гнусный копьеносец
1034	Гнусный шаман
1035	Дух Злобы
1036	Дух Хаоса
1037	Гнусный Вожак Демонских
1038	Мастер Меча Черепа
1039	Летучий Череп
1040	Бессмертный дух
1041	Демонический зверь
1061	Гнусный призрач.солдат
1062	Гнусный призрач.лучник
1063	Гнусный призрачный воин
1064	Гнусный призрачн.шаман
1065	Гнусный Дух Злобы
1066	Гнусный Дух Хаоса
1067	Гнусный призрачн.главарь
1068	Призрачн. Мастер Меча
1069	Гнусный Летучий Череп
1070	Бессмертный дух
1071	Демонический зверь
1091	Босс Демонов
1092	Гордый Босс Демонов
1093	Жнец Смерти
1094	Гнусный Босс Демонов
1095	Голубая смерть
1096	Бш»з±НїХ
1101	Заколдованный лед
1102	Ледяной кит-убийца
1103	Ледяное насекомое
1104	Ледяной лев
1105	Ледяной человек
1106	Йети
1107	Ледяной фантом
1108	Ледяной голем
1131	Потусторонний лед. оск.
1132	Потусторонняя лед. кас.
1133	Потусторонний лед. жук
1134	Потусторонний лед. лев
1135	Потусторонний лед. муж
1136	Потусторонний йети
1137	Потусторонний лед. голем
1138	Потусторонний лед. голем
1151	Ледяной дьявол
1152	Кит-убийца-ледяной рог
1153	Ледяное насекомое
1154	Зойл-Гу
1155	Ледяной муж
1156	Ледяной исполин
1157	Ледяной фантом
1171	Зловещий заколдован. лёд
1172	Зловещий лед.кит-убийца
1173	Зловещее лед. насекомое
1174	Зловещий ледяной лев
1175	Зловещий ледяной муж
1176	Зловещий йети
1177	Зловещий ледяной фантом
1191	Ледяная ведьма
1192	Могучая ледяная ведьма
1301	Древесный ляг-солдат
1302	Главарь древесных лягов
1303	Голем
1304	Призрак желтого тигра
1305	Генерал бычих лягов
1306	Злов.призрак желт.тигра
1307	Злов.призрак желт.тигра
1308	Злов.призрак желт.тигра
1309	Злов.призрак желт.тигра
1310	Злов.призрак желт.тигра
1331	Могуч.древесн.ляг-солдат
1332	Мог.главарь древес.лягов
1333	Могучий голем
1334	Могуч.призрак желт.тигра
1335	Могуч.генерал быч.лягов
1336	Генерал бычьих лягов
1401	Разрушитель
1402	Воин с топором
1403	Тысяча воинов
1501	Каменный фантом
1502	Каменный Голем
1503	Громадн.скалистый фантом
1601	Огр-воин
1602	Огр-палач
1603	Огр-берсеркер
1901	Девятихвост
1902	Элитный девятихвост
1903	Элитный девятихвост
1904	Элитный Девятихвост
1905	Элитный Девятихвост
1906	Элитный Девятихвост
2001	Детёныш паука
2002	Ядовитый паук
2003	Красный ядовитый паук
2004	Паук-клещи
2005	Паук-солдат
2031	Детеныш ядовитого паука
2032	Смертный ядовитый паук
2033	Красн.смерт.яд.паук
2034	Ядовитый паук-клещи
2035	Ядовитый паук-солдат
2036	Гордый паук солдат
2037	Ядовитый паук-солдат
2051	Злобный детёныш паука
2052	Злобный смертн.паук
2053	Злобный красн.ядов.паук
2054	Злобн.ядовит.паук-клещи
2055	Злобн.ядовит паук-солдат
2061	Маленький ядовит.паук
2062	Смертный ядовитый паук
2063	Красн.смертн.ядовит.паук
2064	Ядовитый паук-клещи
2065	Ядовитый паук-солдат
2071	Кровожадн.детёныш паука
2072	Кровожадн.смертн.паук
2073	Кровожадн.смертн.паук
2074	Кровожадн.паук-клещи
2075	Кровожадн.паук-солдат
2076	Кровожадн.матёрый паук
2091	Королева пауков
2092	Баронесса пауков
2093	Чёрная королева пауков
2094	Барон пауков
2095	Яйцо паука
2101	Лис пустыни
2102	Парящее око пустыни
2103	Босс скорпионов
2104	Молодой воин-скорпион
2105	Скорпион-лучник
2106	Змий-меченосец
2107	Змий-лучник
2108	Мародёр пустыни
2131	Жестокий воин-скорпион
2132	Лучник-скорпион
2133	Змий-меченосец
2134	Змий-лучник
2135	Мародёр пустыни
2151	Матёрый лис пустыни
2152	Матёрый дервиш
2153	Матёрый Босс скорпионов
2154	Матёрый воин-скорпион
2155	Матёрый лучник-скорпион
2156	Матёрый змий-меченосец
2157	Матёрый змий-лучник
2158	Матёрый мародёр пустыни
2191	Гигантс.черепаха пустыни
2192	Чёрная черепаха пустыни
2201	Порабощённый боев.тигр
2202	Огненный призрак
2203	Боевой тигр
2204	Пламя
2205	Воин пламени
2206	Владыка пламени
2207	Мрачный владыка пламени
2231	Матёрый порабощён.тигр
2232	Матёрый огненный призрак
2233	Матёрый боевой тигр
2234	Матёрое пламя
2235	Матёрый воин пламени
2291	Красный Дракон
2301	Призрачное дерево
2302	Призрачный пень
2303	Дриада
2304	Призрачная ветла
2305	Дерево Злобы
2306	Громадн.призрачн.дерево
2307	Лорд призрачн.деревьев
2311	Красн.призрачное дерево
2312	Красн.призрачный пень
2313	Красная дриада
2314	Красн.призрачная ветла
2315	Красн.дерево злобы
2401	Сетао Боец
2402	Сетао Охотник
2403	Сетао Мистик
2404	Сетао Вожак
2411	Сетао Солдат
2412	Сетао Лучник
2413	Сетао Судья
2414	Сетао Командующий
2415	Сетао Командующий
2431	ГµАЗєґ»з
2432	ГµАЗ±Гєґ
2433	ГµАЗ№э»з
2434	ГµАЗАејц
2451	БшГµАЗєґ»з
2452	БшГµАЗ±Гєґ
2453	БшГµАЗ№э»з
2454	БшГµАЗАејц
2491	Капитан Йонган
2492	Генерал Йонган
2493	Беран-Сету
2494	Сетао-Генерал
2495	Сетао-Генерал
2501	Адская медуза
2502	Адский пес
2503	Зомби
2504	Адский офицер
2505	Адский охранник
2506	Двухголовый ад. лучник
2507	Адский захватчик
2508	Адский воин
2509	Адский лучник
2510	Адский копьеносец
2511	Адский жрец
2512	Адский капитан
2513	Адский палач
2514	Адский генерал
2541	Жестокий адский воин
2542	Жестокий адский лучник
2543	Жестокий ад. копьеносец
2544	Жестокий адский жрец
2545	Жестокий адский капитан
2546	Жестокий адский палач
2547	Жестокий адский генерал
2591	Тартар
2592	Наследник ада
2593	Наследник ада
2594	Наследник ада
2595	Эреб
2596	Исчадие Азраэля
2597	Харон
2598	Азраэль
2600	Зодиак-волк
2601	Зодиак-голубой волк
2602	Зодиак-лукос
2603	Зодиак-лучник
2604	Зодиак-кабан
2605	Красный зодиак-кабан
2606	Зодиак-скрофа
2607	Зодиак-Ми-Юнг
2608	Зодиак-Бера
2609	Зодиак-медведь
2610	Зодиак-гризли
2611	Зодиак-бурый медведь
2612	Зодиак-Ойн-Юнг
2613	Зодиак-тигрис
2614	Зодиак-тигр
2615	Белый зодиак-тигр
2616	Зодиак-Зе-Ранг
2617	Зодиак-Джинь-Хи
2618	Зодиак-детеныш паука
2619	Зодиак-паук
2620	Красный зодиак-паук
2621	Зодиак-паук-клещи
2622	Зодиак-паук-солдат
2623	Зодиак-огненный призрак
2624	Зодиак-боевой тигр
2625	Зодиак-пламя
2626	Зодиак-воин пламени
2627	Зодиак-владыка пламени
2628	Темн. зод.-владыка плам.
2629	Дикий зодиак-пехотинец
2630	Дикий зодиак-пленник
2631	Дикий зодиак-лучник
2632	Дикий зодиак-генерал
2633	Жестокий зодиак-капитан
2634	Заколдованный зодиак-лед
2635	Лед.зодиак-кит-убийца
2636	Ледяное зодиак-насекомое
2637	Ледяной зодиак-лев
2638	Ледяной зодиак-человек
2639	Зодиак-йети
2640	Ледяной зодиак-голем
2641	Зодиак-лис пустыни
2642	Зодиак-корол. скорпион
2643	Зодиак-змий-меченосец
2644	Зодиак-змий-лучник
2645	Зодиак-мародер пустыни
2646	Зодиак-солд. мрачн.ветра
2647	Зодиак-одержимый ветром
2648	Зодиак-стрелок ветра
2649	Зодиак-Махон
2650	Зодиак-Бо
2651	Зодиак-Го-Пае
2652	Зодиак-Хуонг
2653	Жест. зодиак-воин-скорп.
2654	Зодиак-лучник-скорпион
2655	Зодиак-дервиш
2656	Зодиак-древесн.ляг.-солд
2657	Зодиак-древесн.ляг.-глав
2658	Зодиак-голем
2659	Зодиак-разрушитель
2660	Зодиак-воин с топором
2661	Зодиак-тысяча воинов
2662	Мрачный зодиак-фанатик
2663	Зодиак-Арахан
2664	Мрачный зодиак-воин
2665	Верх.мрач. зодиак-Арахан
2666	Мрачный зодиак-палач
2667	Мрачный зодиак-каратель
2668	Зодиак-вестник смерти
2669	Гордый зодиак-орк
2670	Гордый дозор. зодиак-орк
2671	Гордый зодиак-орк-воин
2672	Гордый зодиак-орк-волш.
2673	Гордый зодиак-орк-генер.
2674	Черный зодиак-орк
2675	Черн. зодиак-орк-громила
2676	Зодиак-амазонка Кр. плут
2677	Зодиак-убийца Кр. плут
2678	Зодиак-маг Кр. плут
2679	Зодиак-палач Кр. плут
2680	Зодиак-краб-истребитель
2681	Зодиак-скорпион-стрелок
2682	Зодиак-креветка-солдат
2683	Дьяв. зодиак-отшельник
2684	Бронир. зодиак-краб
2685	Гигантский зодиак-кусака
2686	Гигантский зодиак-палач
2687	Зодиак-маг
2688	Двойной зодиак-гигант
