Vnum	LocaleName
1	Yang
2	Türkçe Sürüm
10	Kılıç+0
11	Kılıç+1
12	Kılıç+2
13	Kılıç+3
14	Kılıç+4
15	Kılıç+5
16	Kılıç+6
17	Kılıç+7
18	Kılıç+8
19	Kılıç+9
20	Uzun Kılıç+0
21	Uzun Kılıç+1
22	Uzun Kılıç+2
23	Uzun Kılıç+3
24	Uzun Kılıç+4
25	Uzun Kılıç+5
26	Uzun Kılıç+6
27	Uzun Kılıç+7
28	Uzun Kılıç+8
29	Uzun Kılıç+9
30	Hilal kılıç+0
31	Hilal kılıç+1
32	Hilal kılıç+2
33	Hilal kılıç+3
34	Hilal kılıç+4
35	Hilal kılıç+5
36	Hilal kılıç+6
37	Hilal kılıç+7
38	Hilal kılıç+8
39	Hilal kılıç+9
40	Bambu Kılıcı+0
41	Bambu Kılıcı+1
42	Bambu Kılıcı+2
43	Bambu Kılıcı+3
44	Bambu Kılıcı+4
45	Bambu Kılıcı+5
46	Bambu Kılıcı+6
47	Bambu Kılıcı+7
48	Bambu Kılıcı+8
49	Bambu Kılıcı+9
50	Geniş kılıç+0
51	Geniş kılıç+1
52	Geniş kılıç+2
53	Geniş kılıç+3
54	Geniş kılıç+4
55	Geniş kılıç+5
56	Geniş kılıç+6
57	Geniş kılıç+7
58	Geniş kılıç+8
59	Geniş kılıç+9
60	Gümüş Kılıç+0
61	Gümüş Kılıç+1
62	Gümüş Kılıç+2
63	Gümüş Kılıç+3
64	Gümüş Kılıç+4
65	Gümüş Kılıç+5
66	Gümüş Kılıç+6
67	Gümüş Kılıç+7
68	Gümüş Kılıç+8
69	Gümüş Kılıç+9
70	Orkide Kılıcı+0
71	Orkide Kılıcı+1
72	Orkide Kılıcı+2
73	Orkide Kılıcı+3
74	Orkide Kılıcı+4
75	Orkide Kılıcı+5
76	Orkide Kılıcı+6
77	Orkide Kılıcı+7
78	Orkide Kılıcı+8
79	Orkide Kılıcı+9
80	Sahte Kılıç+0
81	Sahte Kılıç+1
82	Sahte Kılıç+2
83	Sahte Kılıç+3
84	Sahte Kılıç+4
85	Sahte Kılıç+5
86	Sahte Kılıç+6
87	Sahte Kılıç+7
88	Sahte Kılıç+8
89	Sahte Kılıç+9
90	Barbar Kılıcı+0
91	Barbar Kılıcı+1
92	Barbar Kılıcı+2
93	Barbar Kılıcı+3
94	Barbar Kılıcı+4
95	Barbar Kılıcı+5
96	Barbar Kılıcı+6
97	Barbar Kılıcı+7
98	Barbar Kılıcı+8
99	Barbar Kılıcı+9
100	Kanlı Kılıç+0
101	Kanlı Kılıç+1
102	Kanlı Kılıç+2
103	Kanlı Kılıç+3
104	Kanlı Kılıç+4
105	Kanlı Kılıç+5
106	Kanlı Kılıç+6
107	Kanlı Kılıç+7
108	Kanlı Kılıç+8
109	Kanlı Kılıç+9
110	Büyük Kılıç+0
111	Büyük Kılıç+1
